gene	cells_detected	fraction_detected	mean_expression
Os06g0660200	4135	0.240393000406953	0.410765491919669
Os02g0743400	4087	0.237602464972967	0.441485730806931
Os01g0856500	2259	0.131329573861985	0.212591856633241
Os06g0232300	1673	0.0972617871054008	0.167330314625524
Os10g0147400	711	0.0413348061159235	0.0700546655847119
Os11g0169200	188	0.0109295971164467	0.0180940246853999
Os05g0447200	47	0.00273239927911168	0.00490785080500704
Os11g0137000	46	0.00267426312423696	0.0045572769013053
Os03g0244600	40	0.00232544619498866	0.00359746691050624
Os12g0133800	15	0.000872042323120749	0.00148466154645384
Os05g0576900	3	0.00017440846462415	0.000273233493436379
Os09g0505400	1	5.81361548747166e-05	6.46149429749845e-05
Os01g0802700	1	5.81361548747166e-05	0.000150741669762278
Os01g0715600	1	5.81361548747166e-05	6.36759506119488e-05
Os08g0529000	0	0	0
Os11g0122800	0	0	0
Os01g0919800	0	0	0
Os01g0643300	0	0	0
