ensembl_gene_id	external_gene_name	description	in_PAT_panel
Os01g0802700	OsPIN9		TRUE
Os10g0147400	OsLAX4		TRUE
Os01g0831000	LAX1		FALSE
Os03g0244600	OsLAX2		TRUE
Os01g0643300	PIN10A		TRUE
Os01g0856500	OsLAX1		TRUE
Os06g0232300	PIN1C		TRUE
Os05g0447200	OsLAX3		TRUE
Os01g0919800	OsPIN5a		TRUE
Os05g0576900	PIN3B		TRUE
Os02g0743400	PIN1A	auxin efflux carrier component 1a-like [Source:NCBI gene (formerly Entrezgene);Acc:4330700]	TRUE
Os11g0137000	PIN1B		TRUE
Os11g0169200	OsLAX5		TRUE
Os12g0133800	OsPIN1D		TRUE
Os08g0529000	PIN5B		TRUE
Os06g0660200	OsPIN2		TRUE
Os01g0715600	OsPIN8		TRUE
Os09g0505400	PIN5B		TRUE
Os04g0396500	LAX2		FALSE
