all_gene_cluster	Cortex	Endodermis	Epidermis	Exodermis	Meristem	Root_cap	Sclerenchyma	Vascular_cylinder	epidermis_near_root_hair
0	10	11	5840	50	375	0	18	32	46
1	2611	4	21	34	131	0	36	17	38
2	36	2	8	5	145	0	2	11	2430
3	5	1	42	1576	124	0	27	72	696
4	3	1	15	182	132	0	11	1974	12
5	1	0	23	9	2243	10	13	10	3
6	2	0	12	1012	116	7	776	18	4
7	2	0	1190	1	112	0	1	2	562
8	48	4	18	17	81	0	1450	15	10
9	1	2	13	0	70	0	0	3	1196
10	0	0	1188	1	61	0	0	0	0
11	0	0	86	9	12	884	3	1	0
12	1	597	12	4	55	2	10	297	1
13	0	755	16	0	49	0	0	0	0
14	12	0	2	0	35	0	1	565	7
15	1	1	3	2	20	0	0	435	2
16	0	0	0	0	9	0	0	125	1
