all_gene_cluster	Atrichoblast_d	Atrichoblast_m1	Atrichoblast_m2	Atrichoblast_t	CEI	Cortex_m1	Cortex_m2	Cortex_t	Endodermis_m1	Endodermis_t	LRC	LRCEI	LRP	Metaxylem_d	PCC_e1	PPP_t	PSE_t	Procambium_d	Protoxylem_d	Protoxylem_e2	Protoxylem_t	SI	Trichoblast_e1	Trichoblast_m2	Trichoblast_t	Uncertain	XPP_m1	XPP_m2	XPP_t	Young LRC
0	35	5	48	5	0	2	39	5	4	3	0	0	367	0	0	0	0	0	0	0	0	1	229	0	1764	3870	0	5	0	0
1	1	0	0	1	0	52	359	959	1	2	0	0	130	0	0	0	0	0	0	0	0	0	3	0	19	1363	1	1	0	0
2	0	0	4	5	0	4	6	14	1	1	0	0	144	0	0	0	0	0	1	0	0	0	38	0	1648	772	0	1	0	0
3	1	0	0	22	0	97	1288	36	0	0	0	0	115	0	0	0	0	0	0	0	3	0	3	0	381	597	0	0	0	0
4	0	0	0	0	1	4	45	39	1	0	0	0	107	12	1	8	0	12	0	0	10	2	1	0	14	1708	92	256	17	0
5	3	3	4	0	13	7	9	0	0	0	5	3	1164	0	0	0	0	0	0	0	1	195	0	0	2	898	1	0	0	4
6	0	1	3	1	1	1068	607	5	0	0	4	0	58	0	0	0	0	0	0	0	0	11	1	0	1	174	5	5	0	2
7	2	0	51	21	0	0	0	1	0	0	0	0	110	0	0	0	0	0	0	0	0	0	17	1	835	832	0	0	0	0
8	0	0	0	0	0	5	401	329	0	2	0	0	80	0	0	0	0	0	0	0	1	0	0	0	11	813	0	0	1	0
9	0	2	12	7	0	0	0	1	0	1	0	0	70	0	0	0	0	0	0	0	0	0	16	0	706	470	0	0	0	0
10	1	117	427	1	3	1	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	3	16	0	48	604	0	0	0	0
11	4	1	0	0	0	3	9	0	0	0	508	0	8	0	0	0	0	0	0	0	0	2	29	0	8	181	0	0	0	242
12	0	0	0	0	0	2	11	0	138	273	0	0	47	0	0	0	0	0	0	0	0	2	0	0	7	383	44	67	5	0
13	0	0	0	0	0	0	0	0	157	317	0	0	46	0	0	0	0	0	0	0	0	1	0	0	4	295	0	0	0	0
14	0	0	0	0	0	0	0	8	0	0	0	0	35	1	1	0	0	0	32	4	0	0	0	0	6	534	0	1	0	0
15	0	0	0	0	0	0	2	0	1	0	0	0	20	11	0	0	0	0	47	2	27	0	0	0	2	306	15	30	1	0
16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	1	0	8	0	0	0	0	107	1	8	0	0
