rice_annotation_original	predicted.Atlas_new_raw	raw_cells	accepted_cells	accepted_percent	median_score	median_margin
Cortex	Cortex_t	2244	993	44.2513368983957	0.492562917768209	0.229121504949138
Cortex	Cortex_m2	435	348	80	0.675628390040147	0.435979538518198
Cortex	Cortex_m1	40	39	97.5	0.750958648062063	0.501917296124125
Cortex	Cortex_d	12	0	0	0.356093737066812	0.027943785679346
Cortex	Cortex_e2	2	0	0	0.312866017886896	0.0263971571459798
Endodermis	Endodermis_t	959	599	62.4608967674661	0.522645744523301	0.316964450871743
Endodermis	Endodermis_m1	397	303	76.3224181360202	0.65630630476996	0.475702010654771
Endodermis	Endodermis_e2	18	0	0	0.336904086963435	0.0536139722351778
Endodermis	Endodermis_m2	4	0	0	0.326717529425262	0.0159892740429642
Epidermis	Trichoblast_t	5783	2332	40.3250907833305	0.47656369183818	0.238308533742969
Epidermis	Atrichoblast_m2	1064	532	50	0.500228429842789	0.268333073627707
Epidermis	Trichoblast_e1	906	283	31.2362030905077	0.4446208172282	0.136395699682233
Epidermis	Atrichoblast_d	341	45	13.1964809384164	0.392041780457664	0.125013422407752
Epidermis	Atrichoblast_m1	153	127	83.0065359477124	0.697206185713223	0.409311553380576
Epidermis	Atrichoblast_t	143	27	18.8811188811189	0.405230886985651	0.151939704559374
Epidermis	Trichoblast_m2	80	1	1.25	0.34956596087839	0.0601171277934529
Epidermis	Trichoblast_e2	19	0	0	0.359387444118548	0.039746234265746
Exodermis	Cortex_m2	1773	1623	91.5397631133672	0.854901057337784	0.730335000939452
Exodermis	Cortex_m1	855	818	95.672514619883	0.899173581106951	0.798347162213901
Exodermis	Cortex_t	272	80	29.4117647058824	0.468019767408352	0.197150822930274
Exodermis	Cortex_e2	1	0	0	0.287196440534763	0.00808003149345826
Exodermis	Cortex_d	1	0	0	0.334386735420081	0.0514047139940934
Meristem	LRP	2764	2539	91.8596237337193	0.82756798213126	0.685391560158178
Meristem	SI	740	217	29.3243243243243	0.466448591270042	0.107185223550546
Meristem	CEI	241	18	7.46887966804979	0.453373349778853	0.0499533564753334
Meristem	LRCEI	25	3	12	0.440428033702514	0.0838597486255855
Root_cap	LRC	605	517	85.4545454545455	0.719996329236802	0.464746439525939
Root_cap	Young LRC	298	248	83.2214765100671	0.732857408108158	0.512430924603441
Sclerenchyma	Cortex_m2	982	805	81.9755600814664	0.703773750700116	0.480093899514309
Sclerenchyma	Cortex_t	950	324	34.1052631578947	0.476601805241079	0.207632804266862
Sclerenchyma	Cortex_m1	403	388	96.2779156327544	0.906267610903349	0.812535221806698
Sclerenchyma	Cortex_d	12	0	0	0.357925828121538	0.0476727325072933
Sclerenchyma	Cortex_e2	1	0	0	0.301558335394003	0.0274891173165676
Vascular_cylinder	XPP_m2	1169	374	31.9931565440547	0.441242055807034	0.19181780584961
Vascular_cylinder	XPP_t	347	24	6.9164265129683	0.362955945987722	0.0703236905950719
Vascular_cylinder	XPP_e1	323	0	0	0.226212902252695	0.0464322876721661
Vascular_cylinder	Protoxylem_t	293	50	17.0648464163823	0.325069027143398	0.119068390455294
Vascular_cylinder	PCC_e1	220	2	0.909090909090909	0.230117834892749	0.0645130232041165
Vascular_cylinder	XPP_m1	218	159	72.9357798165138	0.655637961953448	0.492116770646268
Vascular_cylinder	Protoxylem_e2	189	6	3.17460317460317	0.314448258224134	0.0924523141340416
Vascular_cylinder	Protoxylem_d	178	81	45.5056179775281	0.471760591673754	0.215790281988861
Vascular_cylinder	Procambium_d	125	12	9.6	0.337427368173097	0.101007209681916
Vascular_cylinder	Metaxylem_d	92	24	26.0869565217391	0.389862439727353	0.196162288020665
Vascular_cylinder	XPP_d	79	0	0	0.205277425462664	0.0496832679467419
Vascular_cylinder	Procambium_t	77	0	0	0.190671434363848	0.0226399838899818
Vascular_cylinder	PSE_t	68	1	1.47058823529412	0.208263167758916	0.0441980347678657
Vascular_cylinder	PPP_t	46	8	17.3913043478261	0.430014210277289	0.184356661203092
Vascular_cylinder	PCC_t	41	0	0	0.199493108123519	0.0290317761718986
