rice_annotation_original	rice_broad_original	predicted.Atlas_broad	predicted.Atlas_new	N
Cortex	Cortex	Cortex	Uncertain	2158
Cortex	Cortex	Cortex	Cortex_m2	122
Cortex	Cortex	Cortex	Cortex_m1	23
Endodermis	Endodermis	Endodermis	Endodermis_t	845
Endodermis	Endodermis	Endodermis	Uncertain	301
Endodermis	Endodermis	Endodermis	Endodermis_m1	232
Epidermis	Epidermis	Epidermis	Uncertain	2665
Epidermis	Epidermis	Epidermis	Trichoblast_t	276
Epidermis	Epidermis	Epidermis	Atrichoblast_m2	220
Epidermis	Epidermis	Epidermis	Atrichoblast_m1	49
Epidermis	Epidermis	Epidermis	Trichoblast_e1	28
Exodermis	Cortex	Cortex	Uncertain	895
Exodermis	Cortex	Cortex	Cortex_m2	779
Exodermis	Cortex	Cortex	Cortex_m1	652
Meristem	Meristem_initials	Meristem_initials	LRP	1685
Meristem	Meristem_initials	Meristem_initials	Uncertain	695
Meristem	Meristem_initials	Meristem_initials	SI	85
Meristem	Meristem_initials	Meristem_initials	LRCEI	1
Root_cap	Root_cap	Root_cap	LRC	397
Root_cap	Root_cap	Root_cap	Young LRC	289
Root_cap	Root_cap	Root_cap	Uncertain	217
Sclerenchyma	Cortex	Cortex	Uncertain	1572
Sclerenchyma	Cortex	Cortex	Cortex_m1	354
Sclerenchyma	Cortex	Cortex	Cortex_m2	315
Vascular_cylinder	Vascular	Pericycle	Uncertain	1592
Vascular_cylinder	Vascular	Vascular	Uncertain	740
Vascular_cylinder	Vascular	Pericycle	XPP_m1	95
Vascular_cylinder	Vascular	Vascular	Protoxylem_t	30
Vascular_cylinder	Vascular	Pericycle	XPP_m2	17
Vascular_cylinder	Vascular	Vascular	Protoxylem_d	11
epidermis_near_root_hair	Epidermis	Epidermis	Trichoblast_t	1430
epidermis_near_root_hair	Epidermis	Epidermis	Uncertain	1213
epidermis_near_root_hair	Epidermis	Epidermis	Trichoblast_e1	10
epidermis_near_root_hair	Epidermis	Epidermis	Atrichoblast_m2	7
