Atlas_new	available	sampled
Atrichoblast_d	1200	500
Atrichoblast_e1	1204	500
Atrichoblast_e2	2375	500
Atrichoblast_m1	343	343
Atrichoblast_m2	352	352
Atrichoblast_t	997	500
C1	13	13
CEI	5	5
Columella	61	61
Cortex_d	1381	500
Cortex_e1	1061	500
Cortex_e2	730	500
Cortex_m1	19	19
Cortex_m2	40	40
Cortex_t	1988	500
CSC	33	33
CSCD	26	26
Dying LRC	1471	500
Endocycle	392	392
Endodermis_d	2320	500
Endodermis_e1	911	500
Endodermis_e2	461	461
Endodermis_m1	31	31
Endodermis_m2	106	106
Endodermis_t	1302	500
G1/S	67	67
G2/M	265	265
LRC	9026	500
LRCEI	19	19
LRP	1975	500
Metaxylem_d	348	348
Metaxylem_e1	96	96
Metaxylem_e2	53	53
Metaxylem_m1	10	10
Metaxylem_m2	45	45
Metaxylem_t	346	346
PCC_d	384	384
PCC_e1	588	500
PCC_e2	630	500
PCC_m1	97	97
PCC_m2	90	90
PCC_t	250	250
PPP_d	924	500
PPP_e1	586	500
PPP_e2	196	196
PPP_m1	44	44
PPP_m2	171	171
PPP_t	414	414
Procambium_d	792	500
Procambium_e1	1370	500
Procambium_e2	671	500
Procambium_m1	30	30
Procambium_m2	52	52
Procambium_t	782	500
Protoxylem_d	781	500
Protoxylem_e1	289	289
Protoxylem_e2	254	254
Protoxylem_m1	11	11
Protoxylem_m2	71	71
Protoxylem_t	410	410
PSE_e1	14	14
PSE_e2	52	52
PSE_m1	23	23
PSE_m2	38	38
PSE_t	169	169
QC	6	6
S	70	70
SI	20	20
Stressed RCC	68	68
Stressed_End	756	500
Trichoblast_d	2226	500
Trichoblast_e1	930	500
Trichoblast_e2	780	500
Trichoblast_m1	91	91
Trichoblast_m2	397	397
Trichoblast_t	1576	500
Unknown	37	37
XPP_d	1205	500
XPP_e1	1365	500
XPP_e2	1044	500
XPP_m1	75	75
XPP_m2	314	314
XPP_t	1326	500
Young LRC	226	226
