panel	gene	present_in_object
OSA-aux-trans-ARF	Os01g0236300	TRUE
OSA-aux-trans-ARF	Os01g0670800	TRUE
OSA-aux-trans-ARF	Os01g0753500	TRUE
OSA-aux-trans-ARF	Os01g0927600	TRUE
OSA-aux-trans-ARF	Os02g0141100	TRUE
OSA-aux-trans-ARF	Os02g0164900	TRUE
OSA-aux-trans-ARF	Os02g0557200	TRUE
OSA-aux-trans-ARF	Os02g0628600	TRUE
OSA-aux-trans-ARF	Os04g0442000	TRUE
OSA-aux-trans-ARF	Os04g0519700	TRUE
OSA-aux-trans-ARF	Os04g0664400	TRUE
OSA-aux-trans-ARF	Os04g0671900	TRUE
OSA-aux-trans-ARF	Os04g0690600	TRUE
OSA-aux-trans-ARF	Os05g0515400	TRUE
OSA-aux-trans-ARF	Os05g0563400	TRUE
OSA-aux-trans-ARF	Os06g0196700	TRUE
OSA-aux-trans-ARF	Os06g0677800	TRUE
OSA-aux-trans-ARF	Os06g0685700	TRUE
OSA-aux-trans-ARF	Os06g0702600	TRUE
OSA-aux-trans-ARF	Os07g0183050	TRUE
OSA-aux-trans-ARF	Os07g0183100	TRUE
OSA-aux-trans-ARF	Os07g0183200	TRUE
OSA-aux-trans-ARF	Os07g0183350	TRUE
OSA-aux-trans-ARF	Os07g0183700	TRUE
OSA-aux-trans-ARF	Os08g0520500	TRUE
OSA-aux-trans-ARF	Os08g0520550	TRUE
OSA-aux-trans-ARF	Os10g0479900	TRUE
OSA-aux-trans-ARF	Os11g0523800	TRUE
OSA-aux-trans-ARF	Os12g0479400	TRUE
OSA-aux-trans-ARF	Os12g0613700	TRUE
OSA-aux-trans-IAA	Os01g0178500	TRUE
OSA-aux-trans-IAA	Os01g0190300	TRUE
OSA-aux-trans-IAA	Os01g0231000	TRUE
OSA-aux-trans-IAA	Os01g0286900	TRUE
OSA-aux-trans-IAA	Os01g0675700	TRUE
OSA-aux-trans-IAA	Os01g0741900	TRUE
OSA-aux-trans-IAA	Os02g0228900	TRUE
OSA-aux-trans-IAA	Os02g0723400	TRUE
OSA-aux-trans-IAA	Os02g0805100	TRUE
OSA-aux-trans-IAA	Os02g0817600	TRUE
OSA-aux-trans-IAA	Os03g0633500	TRUE
OSA-aux-trans-IAA	Os03g0633800	TRUE
OSA-aux-trans-IAA	Os03g0742900	TRUE
OSA-aux-trans-IAA	Os03g0797800	TRUE
OSA-aux-trans-IAA	Os05g0178600	TRUE
OSA-aux-trans-IAA	Os05g0230700	TRUE
OSA-aux-trans-IAA	Os05g0523300	TRUE
OSA-aux-trans-IAA	Os05g0559400	TRUE
OSA-aux-trans-IAA	Os06g0166500	TRUE
OSA-aux-trans-IAA	Os06g0335500	TRUE
OSA-aux-trans-IAA	Os06g0597000	TRUE
OSA-aux-trans-IAA	Os07g0182400	TRUE
OSA-aux-trans-IAA	Os08g0109400	TRUE
OSA-aux-trans-IAA	Os09g0527700	TRUE
OSA-aux-trans-IAA	Os11g0221000	TRUE
OSA-aux-trans-IAA	Os11g0221200	TRUE
OSA-aux-trans-IAA	Os11g0221300	TRUE
OSA-aux-trans-IAA	Os12g0601300	TRUE
OSA-aux-trans-IAA	Os12g0601400	TRUE
OSA-aux-trans-IAA	Os04g0653300	TRUE
OSA-aux-trans-PAT	Os01g0643300	TRUE
OSA-aux-trans-PAT	Os01g0715600	TRUE
OSA-aux-trans-PAT	Os01g0802700	TRUE
OSA-aux-trans-PAT	Os01g0919800	TRUE
OSA-aux-trans-PAT	Os02g0743400	TRUE
OSA-aux-trans-PAT	Os05g0576900	TRUE
OSA-aux-trans-PAT	Os06g0232300	TRUE
OSA-aux-trans-PAT	Os06g0660200	TRUE
OSA-aux-trans-PAT	Os08g0529000	TRUE
OSA-aux-trans-PAT	Os09g0505400	TRUE
OSA-aux-trans-PAT	Os11g0122800	TRUE
OSA-aux-trans-PAT	Os11g0137000	TRUE
OSA-aux-trans-PAT	Os12g0133800	TRUE
OSA-aux-trans-PAT	Os01g0856500	TRUE
OSA-aux-trans-PAT	Os03g0244600	TRUE
OSA-aux-trans-PAT	Os05g0447200	TRUE
OSA-aux-trans-PAT	Os10g0147400	TRUE
OSA-aux-trans-PAT	Os11g0169200	TRUE
OSA-aux-trans-receptors	Os01g0853400	TRUE
OSA-aux-trans-receptors	Os02g0759700	TRUE
OSA-aux-trans-receptors	Os03g0187500	TRUE
OSA-aux-trans-receptors	Os03g0265500	TRUE
OSA-aux-trans-receptors	Os04g0395600	TRUE
OSA-aux-trans-receptors	Os05g0150500	TRUE
OSA-aux-trans-receptors	Os05g0449500	TRUE
OSA-aux-trans-receptors	Os11g0462900	TRUE
OSA-aux-trans-receptors	Os11g0515500	TRUE
OSA-aux-trans-receptors	Os12g0529300	TRUE
OSA-aux-trans-receptors	Os12g0529400	TRUE
OSA-aux-trans-receptors	Os01g0249200	TRUE
OSA-aux-trans-receptors	Os01g0284500	TRUE
OSA-aux-trans-receptors	Os01g0705100	TRUE
OSA-aux-trans-receptors	Os01g0952000	TRUE
OSA-aux-trans-receptors	Os01g0952100	TRUE
OSA-aux-trans-receptors	Os02g0491600	TRUE
OSA-aux-trans-receptors	Os02g0491700	TRUE
