"gene","sample","normalized_expression","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"PIN1","control_1_auxin_root_2h_bargmann",0.389750687205633,"control",144895.456982637,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_1_auxin_root_2h_lewis",0.38493696506617,"control",144905.159803495,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_1_auxin_root_2h_vanneste",0.374260263602517,"control",144966.939261077,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN1","control_1_auxin_seedling_2h_okushima",0.368490978006962,"control",144850.414454846,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_2_auxin_root_2h_bargmann",0.382612842650347,"control",144906.492295472,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_2_auxin_root_2h_lewis",0.373364264945066,"control",144845.655514571,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_root_2h_vanneste",0.37517524175829,"control",144922.474082519,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN1","control_2_auxin_seedling_2h_okushima",0.367111627945324,"control",144852.755342067,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_3_auxin_root_2h_bargmann",0.364089470119382,"control",144895.237265024,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_3_auxin_root_2h_lewis",0.39515330543634,"control",144718.580595369,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_seedling_2h_okushima",0.406242026517164,"control",145027.418420535,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_1_auxin_root_2h_derybel",0.377307591596959,"control",144891.502301021,22590,"auxin_root_2h_derybel","control","root","2h","derybel","Control","control","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"PIN1","control_2_auxin_root_2h_derybel",0.37747997046799,"control",144833.260795673,22590,"auxin_root_2h_derybel","control","root","2h","derybel","Control","control","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"PIN1","control_3_auxin_root_2h_derybel",0.379751183145761,"control",144891.611277383,22590,"auxin_root_2h_derybel","control","root","2h","derybel","Control","control","auxin_root_2h_derybel",10,"NAA","Auxin (NAA 10uM)",0
"PIN1","treat_1_auxin_root_2h_lewis",0.463208912280347,"treat",144940.700015881,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_root_2h_lewis",0.473923887128126,"treat",144960.52331451,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_root_2h_lewis",0.425138854184168,"treat",144883.688098146,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_1_auxin_root_2h_bargmann",0.456763731807935,"treat",144778.309908173,22590,"auxin_root_2h_bargmann","treat","root","2h","bargmann","Auxin","treat","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","treat_1_auxin_seedling_2h_okushima",0.446776083241832,"treat",144752.38393162,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","treat_2_auxin_root_2h_bargmann",0.447228320697564,"treat",144798.478522725,22590,"auxin_root_2h_bargmann","treat","root","2h","bargmann","Auxin","treat","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",5
