"gene","sample","normalized_expression","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"PIN1","control_1_auxin_root_2h_bargmann",0.389750687205633,"control",144895.456982637,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_2_auxin_root_2h_bargmann",0.382612842650347,"control",144906.492295472,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_3_auxin_root_2h_bargmann",0.364089470119382,"control",144895.237265024,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","treat_1_auxin_root_2h_bargmann",0.456763731807935,"treat",144778.309908173,22590,"auxin_root_2h_bargmann","treat","root","2h","bargmann","Auxin","treat","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","treat_2_auxin_root_2h_bargmann",0.447228320697564,"treat",144798.478522725,22590,"auxin_root_2h_bargmann","treat","root","2h","bargmann","Auxin","treat","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","treat_3_auxin_root_2h_bargmann",0.461525689624656,"treat",144783.950884411,22590,"auxin_root_2h_bargmann","treat","root","2h","bargmann","Auxin","treat","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","control_1_auxin_seedling_05h_delker",0.390468180932677,"control",145057.545347346,22590,"auxin_seedling_05h_delker","control","seedling","05h","delker","Control","control","auxin_seedling_05h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_seedling_05h_delker",0.38970711078658,"control",145115.53412366,22590,"auxin_seedling_05h_delker","control","seedling","05h","delker","Control","control","auxin_seedling_05h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_seedling_05h_delker",0.372869492324343,"control",145037.247498294,22590,"auxin_seedling_05h_delker","control","seedling","05h","delker","Control","control","auxin_seedling_05h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_seedling_05h_delker",0.448044101871312,"treat",144609.97329443,22590,"auxin_seedling_05h_delker","treat","seedling","05h","delker","Auxin","treat","auxin_seedling_05h_delker",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_seedling_05h_delker",0.453279977849155,"treat",144640.316191634,22590,"auxin_seedling_05h_delker","treat","seedling","05h","delker","Auxin","treat","auxin_seedling_05h_delker",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_seedling_05h_delker",0.450885670106157,"treat",144664.523047894,22590,"auxin_seedling_05h_delker","treat","seedling","05h","delker","Auxin","treat","auxin_seedling_05h_delker",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_seedling_1h_delker",0.383335635425845,"control",145044.607860462,22590,"auxin_seedling_1h_delker","control","seedling","1h","delker","Control","control","auxin_seedling_1h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_seedling_1h_delker",0.380899429542726,"control",145097.717137737,22590,"auxin_seedling_1h_delker","control","seedling","1h","delker","Control","control","auxin_seedling_1h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_seedling_1h_delker",0.372654492676715,"control",145000.655695384,22590,"auxin_seedling_1h_delker","control","seedling","1h","delker","Control","control","auxin_seedling_1h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_seedling_1h_delker",0.446115309231628,"treat",144632.469447688,22590,"auxin_seedling_1h_delker","treat","seedling","1h","delker","Auxin","treat","auxin_seedling_1h_delker",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_seedling_1h_delker",0.45827878422122,"treat",144651.844241064,22590,"auxin_seedling_1h_delker","treat","seedling","1h","delker","Auxin","treat","auxin_seedling_1h_delker",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_seedling_1h_delker",0.46369647798945,"treat",144709.388995078,22590,"auxin_seedling_1h_delker","treat","seedling","1h","delker","Auxin","treat","auxin_seedling_1h_delker",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_seedling_3h_delker",0.406946991582016,"control",144932.688979116,22590,"auxin_seedling_3h_delker","control","seedling","3h","delker","Control","control","auxin_seedling_3h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_seedling_3h_delker",0.406579564177626,"control",145003.07482206,22590,"auxin_seedling_3h_delker","control","seedling","3h","delker","Control","control","auxin_seedling_3h_delker",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_seedling_3h_delker",0.389259364518556,"control",144890.327919777,22590,"auxin_seedling_3h_delker","control","seedling","3h","delker","Control","control","auxin_seedling_3h_delker",1,"IAA","Auxin (IAA 1uM)",0
