iSensor,Rho1,p-value
AT-aux-cis-DR5-ARF1,0.234944617,0.134206419
AT-aux-cis-DR5-ARF2,-0.080916695,0.61046409
AT-aux-cis-DR5-ARF3,0.820875157,2.80E-11
AT-aux-cis-DR5-ARF5-1,0.57578343,6.62E-05
AT-aux-cis-DR5-ARF5-2,-0.188632168,0.231556199
AT-aux-cis-DR5-ARF5syn,0.730331716,4.03E-08
AT-aux-cis-DR5-ARF6,0.711078226,1.31E-07
AT-aux-cis-DR5-ARF8,0.711078226,1.31E-07
AT-aux-cis-DR5-TGTCGG,0.697548747,2.84E-07
AT-aux-cis-DR5-TGTCNN,0.857821043,3.96E-13
AT-aux-cis-IR8-ARF1,0.124106957,0.433587939
AT-aux-cis-IR8-ARF2,0.528430251,0.000321695
AT-aux-cis-IR8-ARF3,0.781327447,1.02E-09
AT-aux-cis-IR8-ARF5-1,0.817752969,3.84E-11
AT-aux-cis-IR8-ARF5-2,0.751666665,9.64E-09
AT-aux-cis-IR8-ARF5syn,0.795377291,3.12E-10
AT-aux-cis-IR8-ARF6,0.089242529,0.574097583
AT-aux-cis-IR8-ARF8,0.089242529,0.574097583
AT-aux-cis-IR8-TGTCNN,0.254198107,0.10427229
AT-aux-cistrans-DR5-ARF1-down,-0.607525671,1.99E-05
AT-aux-cistrans-DR5-ARF1-up,0.782888541,9.00E-10
AT-aux-cistrans-DR5-ARF2-down,-0.520624782,0.000408458
AT-aux-cistrans-DR5-ARF2-up,0.803703125,1.48E-10
AT-aux-cistrans-DR5-ARF3-down,-0.690263642,4.24E-07
AT-aux-cistrans-DR5-ARF3-up,0.809427136,8.65E-11
AT-aux-cistrans-DR5-ARF5-1-down,-0.267727587,0.086499324
AT-aux-cistrans-DR5-ARF5-1-up,0.779766353,1.16E-09
AT-aux-cistrans-DR5-ARF5-2-down,-0.470669781,0.001657118
AT-aux-cistrans-DR5-ARF5-2-up,0.779245989,1.21E-09
AT-aux-cistrans-DR5-ARF5syn-down,-0.591914733,3.65E-05
AT-aux-cistrans-DR5-ARF5syn-up,0.790173645,4.89E-10
AT-aux-cistrans-DR5-ARF6-down,-0.571100149,7.82E-05
AT-aux-cistrans-DR5-ARF6-up,0.797979114,2.48E-10
AT-aux-cistrans-DR5-ARF8-down,-0.571100149,7.82E-05
AT-aux-cistrans-DR5-ARF8-up,0.797979114,2.48E-10
AT-aux-cistrans-DR5-TGTCNN-down,-0.545081919,0.000189499
AT-aux-cistrans-DR5-TGTCNN-up,0.776644166,1.49E-09
AT-aux-cistrans-IR8-ARF1-down,-0.590353639,3.87E-05
AT-aux-cistrans-IR8-ARF1-up,0.701711663,2.25E-07
AT-aux-cistrans-IR8-ARF2-down,-0.78392927,8.26E-10
AT-aux-cistrans-IR8-ARF2-up,0.751666665,9.64E-09
AT-aux-cistrans-IR8-ARF3-down,0.033043152,0.835433429
AT-aux-cistrans-IR8-ARF3-up,0.769359061,2.63E-09
AT-aux-cistrans-IR8-ARF5-1-down,-0.729290987,4.31E-08
AT-aux-cistrans-IR8-ARF5-1-up,0.793295833,3.74E-10
AT-aux-cistrans-IR8-ARF5-2-down,-0.847934116,1.38E-12
AT-aux-cistrans-IR8-ARF5-2-up,0.749064842,1.16E-08
AT-aux-cistrans-IR8-ARF5syn-down,-0.753227759,8.64E-09
AT-aux-cistrans-IR8-ARF5syn-up,0.784449635,7.91E-10
AT-aux-cistrans-IR8-ARF6-down,-0.741779738,1.90E-08
AT-aux-cistrans-IR8-ARF6-up,0.778725624,1.26E-09
AT-aux-cistrans-IR8-ARF8-down,-0.741779738,1.90E-08
AT-aux-cistrans-IR8-ARF8-up,0.778725624,1.26E-09
AT-aux-cistrans-IR8-TGTCNN-down,-0.765196145,3.61E-09
AT-aux-cistrans-IR8-TGTCNN-up,0.744901925,1.54E-08
AT-aux-trans-A-ARF,0.806304948,1.16E-10
AT-aux-trans-ARF,0.842210105,2.74E-12
AT-aux-trans-ConjugationDeconjugation,0.730852081,3.90E-08
AT-aux-trans-PolarAuxinTransport,0.748544477,1.20E-08
AT-aux-trans-IAA,0.743340831,1.71E-08
AT-aux-trans-Receptors,-0.142840083,0.366837812
AT-aux-trans-Synthesis,-0.247433367,0.114144454
AT-aux-trans-Transport,0.724607706,5.78E-08
majortrend,0.806304948,1.16E-10
random1,0.213089304,0.175442569
random2,0.775083072,1.69E-09
