iSensor,Rho,p3
AT-aux-cis-DR5-ARF1,0.765809723,2.04E-06
AT-aux-cis-DR5-ARF2,0.571257446,0.001497662
AT-aux-cis-DR5-ARF3,0.687870723,5.23E-05
AT-aux-cis-DR5-ARF5-1,0.462319979,0.013249385
AT-aux-cis-DR5-ARF5-2,0.591037419,0.000926847
AT-aux-cis-DR5-ARF5syn,0.842272606,1.91E-08
AT-aux-cis-DR5-ARF6,0.733039916,9.14E-06
AT-aux-cis-DR5-ARF8,0.733039916,9.14E-06
AT-aux-cis-DR5-TGTCGG,0.825444868,6.45E-08
AT-aux-cis-DR5-TGTCNN,0.835482466,3.17E-08
AT-aux-cis-IR8-ARF1,-0.220236721,0.260103324
AT-aux-cis-IR8-ARF2,0.849062746,1.12E-08
AT-aux-cis-IR8-ARF3,0.820721292,8.87E-08
AT-aux-cis-IR8-ARF5-1,0.85614811,6.27E-09
AT-aux-cis-IR8-ARF5-2,0.839320371,2.39E-08
AT-aux-cis-IR8-ARF5syn,0.84256783,1.87E-08
AT-aux-cis-IR8-ARF6,0.206951664,0.290670959
AT-aux-cis-IR8-ARF8,0.206951664,0.290670959
AT-aux-cis-IR8-TGTCNN,0.545277779,0.002692483
AT-aux-cistrans-DR5-ARF1-down,-0.814521599,1.33E-07
AT-aux-cistrans-DR5-ARF1-up,0.86205258,3.76E-09
AT-aux-cistrans-DR5-ARF2-down,-0.809207576,1.86E-07
AT-aux-cistrans-DR5-ARF2-up,0.825149644,6.58E-08
AT-aux-cistrans-DR5-ARF3-down,-0.817473833,1.10E-07
AT-aux-cistrans-DR5-ARF3-up,0.79857953,3.52E-07
AT-aux-cistrans-DR5-ARF5-1-down,-0.83075889,4.46E-08
AT-aux-cistrans-DR5-ARF5-1-up,0.836072913,3.04E-08
AT-aux-cistrans-DR5-ARF5-2-down,-0.781161345,9.31E-07
AT-aux-cistrans-DR5-ARF5-2-up,0.819245174,9.78E-08
AT-aux-cistrans-DR5-ARF5syn-down,-0.803007883,2.71E-07
AT-aux-cistrans-DR5-ARF5syn-up,0.846700959,1.35E-08
AT-aux-cistrans-DR5-ARF6-down,-0.793265508,4.78E-07
AT-aux-cistrans-DR5-ARF6-up,0.80359833,2.62E-07
AT-aux-cistrans-DR5-ARF8-down,-0.793265508,4.78E-07
AT-aux-cistrans-DR5-ARF8-up,0.80359833,2.62E-07
AT-aux-cistrans-DR5-TGTCNN-down,-0.786180144,7.10E-07
AT-aux-cistrans-DR5-TGTCNN-up,0.819835621,9.41E-08
AT-aux-cistrans-IR8-ARF1-down,-0.818359504,1.04E-07
AT-aux-cistrans-IR8-ARF1-up,0.807436235,2.07E-07
AT-aux-cistrans-IR8-ARF2-down,-0.766104947,2.01E-06
AT-aux-cistrans-IR8-ARF2-up,0.899250739,7.88E-11
AT-aux-cistrans-IR8-ARF3-down,-0.506013055,0.006009384
AT-aux-cistrans-IR8-ARF3-up,0.792970284,4.87E-07
AT-aux-cistrans-IR8-ARF5-1-down,-0.819245174,9.78E-08
AT-aux-cistrans-IR8-ARF5-1-up,0.854081546,7.45E-09
AT-aux-cistrans-IR8-ARF5-2-down,-0.794151178,4.55E-07
AT-aux-cistrans-IR8-ARF5-2-up,0.815407269,1.26E-07
AT-aux-cistrans-IR8-ARF5syn-down,-0.784113579,7.94E-07
AT-aux-cistrans-IR8-ARF5syn-up,0.811569364,1.60E-07
AT-aux-cistrans-IR8-ARF6-down,-0.79857953,3.52E-07
AT-aux-cistrans-IR8-ARF6-up,0.869728391,1.87E-09
AT-aux-cistrans-IR8-ARF8-down,-0.79857953,3.52E-07
AT-aux-cistrans-IR8-ARF8-up,0.869728391,1.87E-09
AT-aux-cistrans-IR8-TGTCNN-down,-0.732449469,9.37E-06
AT-aux-cistrans-IR8-TGTCNN-up,0.792675061,4.95E-07
AT-aux-trans-A-ARF,0.786770591,6.87E-07
AT-aux-trans-ARF,0.831349337,4.27E-08
AT-aux-trans-ConjugationDeconjugation,0.911059679,1.67E-11
AT-aux-trans-EffluxInflux,0.883308671,4.85E-10
AT-aux-trans-IAA,0.779685227,1.01E-06
AT-aux-trans-Receptors,-0.789132379,6.03E-07
AT-aux-trans-Synthesis,-0.776142545,1.21E-06
AT-aux-trans-Transport,0.921687724,3.39E-12
majortrend,-0.599008454,0.000757176
random1,-0.581885491,0.001161645
random2,0.859986015,4.51E-09
