"","Parenchyma-cell_Bud","Bud-primordium_Bud","Root-meristem_Bud","Vascular-cylinder_Bud","Epidermis_Bud","Bud-unknown_Bud","Shoot-apical-meristem_Bud","Bud-axis_Bud","Mesophyll_Flag","Vascular-cylinder_Flag","Guard-cell_Flag","Epidermis_Flag","Fiber_Flag","Epidermis_leaf","Mesophyll_leaf","Guard-cell_leaf","Parenchyma-cell_leaf","Vascular-cylinder_leaf","Fiber_leaf","Endodermis_Root","Epidermis_Root","Exodermis_Root","Sclerenchyma_Root","Root-unknown_Root","Vascular-cylinder_Root","Meristem_Root","Cortex_Root","Root-cap_Root","Meristem_SAM","SAM-unknown_SAM","Epidermis_SAM","Vascular-cylinder_SAM","Parenchyma-cell_SAM","Proliferating-cell_SAM","Guard-cell_SAM","Scutellum_Seed","Plumule_Seed","Vascular-cylinder_Seed","Seed-unknown_Seed","Epidermis_Seed","Tapetum_SP","Vascular-cylinder_SP","Pollen-mother-cell_SP","Lodicule_SP","Ovary-wall_SP","Ovule_SP","Stigmata_SP","Filament_SP","SP-unknown_SP","Epidermis_SP","Cortex_ST","Epidermis_ST","Parenchyma-cell_ST","Vascular-cylinder_ST","Procambium_ST","ST-unknown_ST"
"OS-aux-trans-ARF",1.95224271377008,2.03589674481055,2.1549321556711,2.27059296210922,2.51139559002589,1.74338246825154,2.20761573628104,2.80700760986428,1.02891068824129,1.50428627280222,1.29069998722808,1.37172465526625,1.73312275787728,1.22802389976785,0.944975221980845,1.07362812734414,1.28577425600802,1.40606830487815,1.23897933893481,3.47693553233513,1.89056096724857,2.06707639329069,1.98359161281948,1.92994608971137,2.80265405845937,2.14482441936205,2.25501592129596,1.95718818497251,1.75509560225854,2.10154014687282,1.37485452047087,1.98875072661181,1.71145198063722,1.9509848439584,2.10508023224209,0.621115059402455,1.04043490408014,1.14473864414276,1.33105728732989,0.74908433530406,3.19195858808368,1.37805344865263,1.81772641811906,1.51227676920977,2.07401686213531,1.64154329811223,2.98534072630417,3.68469388473443,2.02753845322459,2.36832699047872,1.93822351925014,2.10207707868539,1.73134449113714,2.0234578012725,1.26751630439585,1.2590801008814
"OS-aux-trans-IAA",2.03381821603243,2.11120687714254,1.77033103660791,2.4126257443865,2.03559172341376,1.5523718311994,2.08174596972406,1.7414623053622,0.946974813871891,2.41947926788642,0.799399124821871,1.35942060131026,0.76708463698102,1.64754324769119,1.08868668304645,1.14599364247514,1.07964068182869,2.13754435271281,0.951071162233648,6.53340638750294,4.78713556314613,4.36349404915491,4.00632312294753,5.87450223242253,5.879649856255,4.44448543423535,5.91378453241915,3.42391420573475,1.92891450695838,1.46422677266653,1.90639484659958,2.48450901777881,2.22609009234308,2.0743573637027,2.41819103222236,0.364760912977294,0.356215033798647,1.75834693959347,0.587741278454167,0.646273305547417,3.64631751242342,1.20410784631237,2.10613120569813,1.63550702016521,1.57510324951005,1.89049330090095,2.43317991268287,3.33593069627356,2.56013072985891,4.18830309272103,4.02768601326195,2.92167279186082,1.47223724162249,2.66612136952108,1.74392485779456,1.0824389145671
"OS-aux-trans-PAT",0.46342791413408,0.875150264574844,0.480124859886149,1.30372537737481,0.744942248476362,0.394622652393313,0.476087644266689,0.593727368356243,0.0538980467705727,1.54020585635094,0.234572648343188,0.121345510897499,0.0854331508626806,0.2608284008071,0.181899946389327,0.392484717413462,0.0668418741755962,0.782345393145122,0.156127058901816,1.68625859333791,1.15957068187957,1.03792930328416,1.03950668017571,0.881572259402934,2.03031156345541,1.19327623009215,1.07045990641354,2.7048585982939,0.564177133958748,0.494689253090703,0.334819795343513,1.28069413473474,0.70530222361512,0.689128337224573,0.63822088455451,0.100926985983592,0.166656673263483,0.168947012603833,0.191150175114758,0.082800425366272,0.482872649889673,0.094876539520751,0.176404768136572,0.224003101323097,0.305730632964701,0.366630631051882,0.526074359342206,0.708500949823572,0.728857736074593,0.126626746658954,2.01591963786684,1.92962913242438,0.462699675471763,0.663046747131057,0.446373637441101,0.378798315183138
"OS-aux-trans-receptors",0.496603515553639,0.380172706478678,0.693570536315171,0.441478182369371,0.676540718642436,0.579640261594894,0.786756262050096,0.672245324956754,0.285660251074352,0.641232306009936,0.530950304933901,0.496259715724262,0.578149533011958,0.429125865667261,0.327799259107623,0.782878790194121,0.631188783384774,0.552705658876976,0.406339454608771,0.892234661756482,1.24570905717898,1.25490279598501,0.96365995754432,1.36590543144648,0.888652758380162,1.10134059547025,0.850819498922727,1.12872524535186,0.60044905737998,0.442424815124669,0.537339886232873,0.48356833763617,0.650231882728734,0.567087585861586,0.746691039221717,0.829387059828455,0.682221270587442,1.38475353740884,0.943574079498275,1.29307183490824,0.5649655924156,0.896928606503055,1.03219100420083,1.46843526868153,1.0618860193759,0.876993518657279,1.20246681427169,1.02027863998529,0.948624490744131,0.717985361098538,0.580187264940892,0.528304403132484,0.491558514124006,0.704245637503578,0.416125867468671,0.437590087132278
"OS-aux-trans-synthesis",0.299354895845839,0.150817133998271,0.441453025076469,0.212134510515582,0.464044730141074,0.267700379253764,0.492207058498483,0.449916708241539,0.126442277836614,0.225254310049641,0.196177010877902,0.170320261088399,0.13138975023968,0.19716169966452,0.141115728402382,0.272947183182836,0.589747589025684,0.39996702240946,0.133111931571523,0.63722660495057,0.323439864353121,0.331755847356861,0.285554580952889,0.412791546702797,0.971249561502463,0.340924831261116,0.427338313518427,0.23937562917871,0.212721642022314,0.23903590131869,0.358109335166922,0.309847819370624,0.54344654903089,0.322024334012633,0.471649101386197,0.234172715408354,0.114324914240931,0.596474667079602,0.220654190331697,0.219604229371236,0.062459155891098,0.0824096118114075,0.387424018538293,0.241371583691776,0.2101979862666,0.256089953475022,0.21515563094434,0.230374882002114,0.372138403465105,0.0953128149863774,0.200035734484041,0.229003013152661,0.280079260728866,0.335696559480705,0.172712352724105,0.166407229161452
"OS-aux-trans-transport",1.08425598394878,1.56697095331607,1.20200678165762,1.46779382809019,1.17209552922993,1.4588632051192,1.28552519197463,1.14834164199752,0.535452940147657,1.06382407418406,0.769228137286934,0.907359815578393,0.958253373031519,1.04550468663828,0.705215612487223,0.921683051395679,0.568687626764105,1.05192287890001,0.911415545249885,1.74051886494881,1.15944735410901,1.18688670647331,1.19804060256444,2.06287969370448,1.61625921997668,1.21956803456032,1.55615903047978,1.07703939571118,0.504189655448163,0.411667268257414,0.371856483960017,0.354723054046512,0.379470631882146,0.432136315672423,0.617205498620905,0.431679383623445,0.386931555962294,0.675046048441362,0.387661881994511,0.433738502842859,0.423651836713796,0.484358629546315,0.662342245875843,1.00868379662358,1.09702002570656,0.722887209359095,1.04277370575987,0.754290076090236,0.896842736657014,0.715272045278251,1.31886675757779,1.02252289023722,0.868316964515024,0.770007736843442,0.748084488973101,0.701284511016861
"OSA-aux-trans-ConjugationDeconjugation",0.697998744015086,0.641979946065818,0.523069312054065,0.639980971366623,0.553366154229329,0.71945899003211,0.623107826850721,0.488825498168454,0.86385236459566,0.661278494877248,0.684679502411941,0.96669887359052,0.535869031202806,0.955137083266969,0.868767722470885,0.836313792596616,1.00926956826055,0.783134467748709,0.70870995639775,0.545449486184163,0.540087930132455,0.578500579946508,0.576434360130046,0.727259085830655,0.558962859851568,0.559988667011705,0.683575473210315,0.499808822414651,0.409560874919322,0.252572014766532,0.366012684355884,0.273679453855021,0.463312117622294,0.384906428632435,0.473657141507724,0.208812522595155,0.161099568852897,0.431983391845861,0.227714541499132,0.384697965609703,0.855377598741101,0.501561545653368,0.69298256731427,0.725605970224751,0.695869228734736,0.632052256440893,0.500047663665135,0.504964219990424,0.606461867586874,0.62705906082574,0.59710627524751,0.669551992950985,0.687465936018668,0.519822916566313,0.664959534896236,0.689685925748303
"random1",1.70000476681938,1.71853499127156,1.90029822910733,1.87951563610221,1.68764810083237,1.59634173775961,1.80952993585772,1.76540094430677,0.718520636920427,1.19631064063152,0.920338819770266,1.08958640356718,1.00583077343751,1.0727062022737,0.710621742274365,0.826126758722361,1.119394212941,1.11899701213719,0.699584254163721,1.60902819774017,1.79314892766714,1.94966507342689,1.75329175194768,1.54571564130659,1.65861782211277,1.86816580732859,1.44626164485848,1.87919490927837,1.35737062481374,1.3658474776439,1.17223917031244,1.36595689845371,1.44344652316256,1.5924988114317,1.62847242452851,0.536915938384473,0.33900429309353,0.727557587217596,0.695110201223137,0.579268996682906,1.23860460923124,1.43524312293095,1.59393625621044,1.64624603943074,1.35734237993224,1.61566739277695,1.56861111903838,1.42429825642634,1.55695677081336,1.36100404685839,1.48298230424389,1.82288742096851,1.96562415695776,1.73117615909787,1.55961722219093,1.6343102041066
"random2",1.26806978814355,1.38281352013991,1.68086591898422,1.43753241713766,1.53777652000236,1.35234944974289,1.48714131124908,1.7767723645053,0.905085616192027,1.2815877798937,1.19961618789453,1.07372751197152,1.34746220492531,1.09391492823666,0.921191536827031,1.08754166518423,1.22135323925252,1.27463743647464,1.07972258783451,1.76522008273902,1.73682503467748,1.85172683186241,1.61250089968512,1.5258983806328,1.69922023824279,1.80819354842699,1.39426237457832,1.88650830831208,1.49514740728751,1.65636092751353,1.35480354821951,1.69608553182867,1.56825417198627,1.77199328639607,1.72117678322262,0.589295510949748,0.652728988733153,0.91184513528347,0.795857195220747,0.628464978098571,1.38120531415484,1.30450342056761,1.12851430337475,1.25918970051203,1.18979420239196,1.2015263174003,1.52117909830781,1.4304325146007,1.44416509613272,1.26874631464112,1.47356352628652,1.59994122122745,1.39126786280845,1.50108312882302,1.56098027019783,1.4939860345873
"random3",1.3408268915622,1.3094311050355,1.4516500165201,1.34082495197424,1.44168590523774,1.45838362106259,1.4360917499525,1.54171087531099,0.927934190316288,0.971522393830321,1.02031869198705,1.16107458064504,1.05066330641852,0.870975920910822,0.685591965564163,0.779213798070378,0.958735063759948,0.791204525682828,0.795665119335733,1.29882459408822,1.18094147080883,1.2698001781326,1.15422964125036,1.16837480100988,1.20421367044931,1.31052881372117,1.05476859363431,1.31874291998778,1.01391448263805,1.04748695966879,1.13485526558047,0.953333054580437,1.07235856067511,1.19965909190794,1.34794789302595,0.460535320418545,0.649982613126886,0.767946210673288,0.540522929146943,0.514060629134222,1.16296276334061,1.26104782136444,1.15931690943086,1.23433735500082,1.18014224773303,1.14007066568973,1.31656828820336,1.28311066151197,1.23874349429587,1.10561232028229,1.02709063093372,1.10511252527516,1.23537626809795,1.12078842238338,1.11968760070681,1.07080311357277
"majortrend",1.09996927605733,1.13210845560343,1.30781973732994,1.14698150580414,1.22760364183036,1.18597683115448,1.23386241490642,1.3830461928612,0.91487823580636,0.957325852004858,0.966670954350956,1.02750125722986,0.991641792856845,1.02122407460753,0.917541036543942,0.951700634492972,1.04526833278255,1.02774620344513,0.926116719937041,1.32087695331858,1.31370260708215,1.42673501958187,1.29130305775467,1.22585048329162,1.28272580462736,1.41191675898526,1.15518932154708,1.47064562877974,1.06271856886105,1.04359153454233,0.890160710052371,1.06926887127293,1.0914673112648,1.2466075599204,1.2478255969594,0.554766288410438,0.641122988657411,0.763782007766542,0.678591825799889,0.602197544807594,0.979081618440773,1.00179868227639,1.04062609227282,1.09842704210262,1.04908935733928,1.006327422766,1.25147136510339,1.16635761308559,1.13723201555299,1.04232655086734,1.03485167925912,1.05488055291394,1.0610159608349,1.05329464863429,1.03279251780949,0.996287725673394
