id,iSensor,term,estimate,std.error,statistic,p.value,p_adj,effect,lo,hi,class
1,AT-aux-cistrans-DR5-TGTCNN-down,conditionAuxin,-0.564164801,0.049074924,-11.49598933,2.60244E-05,0.000656441,-0.564164801,-0.660351652,-0.467977951,Down
2,AT-aux-cistrans-DR5-ARF5-1-down,conditionAuxin,-0.383030654,0.034682133,-11.04403391,3.27914E-05,0.000656441,-0.383030654,-0.451007635,-0.315053673,Down
3,AT-aux-cistrans-DR5-ARF6-down,conditionAuxin,-0.331675209,0.03295177,-10.06547463,5.58033E-05,0.000656441,-0.331675209,-0.396260679,-0.267089739,Down
4,AT-aux-cistrans-DR5-ARF8-down,conditionAuxin,-0.331675209,0.03295177,-10.06547463,5.58033E-05,0.000656441,-0.331675209,-0.396260679,-0.267089739,Down
5,AT-aux-cistrans-IR8-ARF5-1-up,conditionAuxin,0.251985165,0.025540665,9.866037929,6.25468E-05,0.000656441,0.251985165,0.201925463,0.302044868,Up
6,AT-aux-cis-IR8-ARF5-2,conditionAuxin,-0.16356189,0.016332032,-10.01479129,5.74337E-05,0.000656441,-0.16356189,-0.195572673,-0.131551108,Down
7,AT-aux-cis-IR8-ARF5-1,conditionAuxin,-0.104175252,0.010731344,-9.707567703,6.85834E-05,0.000656441,-0.104175252,-0.125208688,-0.083141817,Down
8,AT-aux-cis-DR5-TGTCNN,conditionAuxin,-0.171888345,0.018434694,-9.324176728,8.61979E-05,0.000721908,-0.171888345,-0.208020345,-0.135756345,Down
9,AT-aux-cis-DR5-TGTCGG,conditionAuxin,-0.177485201,0.020464908,-8.672660734,0.000129661,0.000789753,-0.177485201,-0.21759642,-0.137373982,Down
10,AT-aux-cistrans-IR8-ARF6-down,conditionAuxin,-0.140152661,0.016136477,-8.685456275,0.000128593,0.000789753,-0.140152661,-0.171780155,-0.108525167,Down
11,AT-aux-cistrans-IR8-ARF8-down,conditionAuxin,-0.140152661,0.016136477,-8.685456275,0.000128593,0.000789753,-0.140152661,-0.171780155,-0.108525167,Down
12,AT-aux-cistrans-DR5-ARF2-down,conditionAuxin,-0.470918549,0.0561817,-8.382063066,0.000156921,0.000826777,-0.470918549,-0.58103468,-0.360802418,Down
13,AT-aux-trans-Synthesis,conditionAuxin,-0.439647605,0.052658513,-8.349031935,0.000160419,0.000826777,-0.439647605,-0.54285829,-0.33643692,Down
14,AT-aux-cis-DR5-ARF2,conditionAuxin,-0.095238156,0.011784261,-8.081809628,0.000192288,0.000920234,-0.095238156,-0.118335308,-0.072141004,Down
15,AT-aux-cistrans-DR5-ARF3-up,conditionAuxin,0.696977411,0.087425929,7.972204792,0.000207431,0.000926526,0.696977411,0.52562259,0.868332232,Up
16,AT-aux-cistrans-IR8-ARF5syn-up,conditionAuxin,0.213704629,0.027294404,7.829613419,0.000229237,0.000959932,0.213704629,0.160207598,0.26720166,Up
17,AT-aux-cistrans-DR5-ARF5syn-down,conditionAuxin,-0.321066443,0.041940715,-7.655244827,0.00025959,0.001023092,-0.321066443,-0.403270244,-0.238862641,Down
18,AT-aux-cistrans-IR8-ARF1-up,conditionAuxin,-0.145637976,0.019882455,-7.324949541,0.000330726,0.001231035,-0.145637976,-0.184607587,-0.106668365,Down
19,AT-aux-cistrans-DR5-ARF5-1-up,conditionAuxin,0.242779606,0.034010158,7.138443925,0.000380719,0.00130444,0.242779606,0.176119696,0.309439516,Up
20,AT-aux-cistrans-IR8-ARF5syn-down,conditionAuxin,-0.233622544,0.032862986,-7.108987155,0.000389385,0.00130444,-0.233622544,-0.298033996,-0.169211092,Down
21,AT-aux-cis-DR5-ARF5-1,conditionAuxin,-0.076988293,0.011664484,-6.600231155,0.000581574,0.001855497,-0.076988293,-0.099850682,-0.054125904,Down
22,AT-aux-cis-DR5-ARF6,conditionAuxin,-0.087432228,0.013815058,-6.328762809,0.000727739,0.002119936,-0.087432228,-0.114509743,-0.060354714,Down
23,AT-aux-cis-DR5-ARF8,conditionAuxin,-0.087432228,0.013815058,-6.328762809,0.000727739,0.002119936,-0.087432228,-0.114509743,-0.060354714,Down
24,AT-aux-cis-DR5-ARF5-2,conditionAuxin,-0.070763235,0.011312076,-6.25554784,0.000774092,0.002161006,-0.070763235,-0.092934904,-0.048591565,Down
25,AT-aux-cis-IR8-ARF3,conditionAuxin,-0.119766091,0.020239823,-5.917348699,0.001037223,0.002779759,-0.119766091,-0.159436144,-0.080096037,Down
26,AT-aux-cis-IR8-ARF1,conditionAuxin,-0.156349089,0.027385114,-5.709272799,0.00124965,0.003156538,-0.156349089,-0.210023913,-0.102674265,Down
27,AT-aux-cis-DR5-ARF5syn,conditionAuxin,-0.068702257,0.012074789,-5.689727328,0.001272038,0.003156538,-0.068702257,-0.092368844,-0.045035671,Down
28,AT-aux-trans-ARF,conditionAuxin,0.298387128,0.053240225,5.604542981,0.001375108,0.003176973,0.298387128,0.194036288,0.402737969,Up
29,random3,conditionAuxin,-0.064830072,0.011529474,-5.622985983,0.001352008,0.003176973,-0.064830072,-0.087427841,-0.042232302,Down
30,AT-aux-cistrans-IR8-ARF5-1-down,conditionAuxin,-0.250289941,0.047512989,-5.267821443,0.001887162,0.004214661,-0.250289941,-0.343415399,-0.157164483,Down
31,AT-aux-cis-IR8-TGTCNN,conditionAuxin,-0.100013212,0.019538031,-5.118899224,0.002180585,0.004712877,-0.100013212,-0.138307753,-0.061718671,Down
32,AT-aux-cis-IR8-ARF6,conditionAuxin,-0.078573585,0.0157061,-5.002743058,0.002445654,0.00496542,-0.078573585,-0.109357541,-0.047789628,Down
33,AT-aux-cis-IR8-ARF8,conditionAuxin,-0.078573585,0.0157061,-5.002743058,0.002445654,0.00496542,-0.078573585,-0.109357541,-0.047789628,Down
34,AT-aux-trans-PolarAuxinTransport,conditionAuxin,-0.372120381,0.077308712,-4.813433976,0.002959838,0.005727717,-0.372120381,-0.523645457,-0.220595305,Down
35,AT-aux-cistrans-DR5-ARF1-down,conditionAuxin,-0.206560991,0.043008229,-4.802824854,0.002992091,0.005727717,-0.206560991,-0.29085712,-0.122264862,Down
