"id","iSensor","rho","p_value","p_adj"
"1","AT-aux-cis-DR5-ARF1",-0.801262821241142,0.0168148544135534,0.0229917397083281
"2","AT-aux-cis-DR5-ARF2",-0.957009399340976,0.000192287602207417,0.00092023352484978
"3","AT-aux-cis-DR5-ARF3",-0.712242603370861,0.0474527313952645,0.0611410192977446
"4","AT-aux-cis-DR5-ARF5-1",-0.937519108056596,0.000581573751165377,0.00185549720609906
"5","AT-aux-cis-DR5-ARF5-2",-0.931158566941108,0.000774091759635994,0.00216100616231715
"6","AT-aux-cis-DR5-ARF5syn",-0.918498801005965,0.0012720377668598,0.00315653816220764
"7","AT-aux-cis-DR5-ARF6",-0.932585654650786,0.000727739361267233,0.00211993640021324
"8","AT-aux-cis-DR5-ARF8",-0.932585654650786,0.000727739361267233,0.00211993640021324
"9","AT-aux-cis-DR5-TGTCGG",-0.962352358554281,0.000129660968168807,0.000789753169755463
"10","AT-aux-cis-DR5-TGTCNN",-0.967182717732603,0.0000861979126707585,0.000721907518617603
"11","AT-aux-cis-IR8-ARF1",-0.918990018400387,0.00124964968611773,0.00315653816220764
"12","AT-aux-cis-IR8-ARF2",-0.859509154660519,0.00622247713367779,0.00992633257039077
"13","AT-aux-cis-IR8-ARF3",-0.923965428078053,0.00103722334411651,0.00277975856223226
"14","AT-aux-cis-IR8-ARF5-1",-0.969609089571061,0.0000685834290137493,0.000656441391988743
"15","AT-aux-cis-IR8-ARF5-2",-0.971367012657031,0.0000574336755515616,0.000656441391988743
"16","AT-aux-cis-IR8-ARF5syn",-0.864378589315482,0.00561914524620234,0.0091825056462331
"17","AT-aux-cis-IR8-ARF6",-0.898121801947936,0.00244565444429505,0.0049654196293263
"18","AT-aux-cis-IR8-ARF8",-0.898121801947936,0.00244565444429505,0.0049654196293263
"19","AT-aux-cis-IR8-TGTCNN",-0.902043625890746,0.00218058490758551,0.00471287705832996
"20","AT-aux-cistrans-DR5-ARF1-down",-0.890831772976002,0.00299209115936524,0.00572771736221347
"21","AT-aux-cistrans-DR5-ARF1-up",0.837365600182366,0.00948509613646611,0.0141222542476273
"22","AT-aux-cistrans-DR5-ARF2-down",-0.959854542510986,0.000156920746858069,0.000826776725048211
"23","AT-aux-cistrans-DR5-ARF2-up",0.692305682150823,0.05705569304899,0.0695042078960424
"24","AT-aux-cistrans-DR5-ARF3-down",-0.87258319067849,0.00468993139256477,0.00826908956057472
"25","AT-aux-cistrans-DR5-ARF3-up",0.955896768188333,0.000207431152670003,0.000926525815259345
"26","AT-aux-cistrans-DR5-ARF5-1-down",-0.976275710069463,0.0000327913981552437,0.000656441391988743
"27","AT-aux-cistrans-DR5-ARF5-1-up",0.945863668294236,0.000380718633890185,0.00130444028020834
"28","AT-aux-cistrans-DR5-ARF5-2-down",-0.612226783648943,0.106664893832972,0.123216342876019
"29","AT-aux-cistrans-DR5-ARF5-2-up",0.817968604750546,0.0130955006245507,0.0185360830213745
"30","AT-aux-cistrans-DR5-ARF5syn-down",-0.952430958276875,0.000259590429054263,0.00102309169097856
"31","AT-aux-cistrans-DR5-ARF5syn-up",0.706703339834894,0.0500145917530113,0.0620551416194769
"32","AT-aux-cistrans-DR5-ARF6-down",-0.971642523332916,0.0000558033176573672,0.000656441391988743
"33","AT-aux-cistrans-DR5-ARF6-up",-0.407086149806831,0.316848522225202,0.342400822404654
"34","AT-aux-cistrans-DR5-ARF8-down",-0.971642523332916,0.0000558033176573672,0.000656441391988743
"35","AT-aux-cistrans-DR5-ARF8-up",-0.407086149806831,0.316848522225202,0.342400822404654
"36","AT-aux-cistrans-DR5-TGTCNN-down",-0.97804467667129,0.0000260243928947321,0.000656441391988743
"37","AT-aux-cistrans-DR5-TGTCNN-up",0.263012803659367,0.529121651669044,0.56271667717184
"38","AT-aux-cistrans-IR8-ARF1-down",-0.828885153607841,0.0109732407376205,0.015982763683056
"39","AT-aux-cistrans-IR8-ARF1-up",-0.948378343299649,0.000330725725504498,0.00123103464493341
"40","AT-aux-cistrans-IR8-ARF2-down",0.748528273602719,0.0326353431469428,0.0437313598169033
"41","AT-aux-cistrans-IR8-ARF2-up",0.415374428509963,0.306119781065938,0.341833755523631
"42","AT-aux-cistrans-IR8-ARF3-down",-0.869268365861562,0.00505240083310613,0.00846277139545277
"43","AT-aux-cistrans-IR8-ARF3-up",0.0694054516868091,0.870282091842283,0.870282091842283
"44","AT-aux-cistrans-IR8-ARF5-1-down",-0.906764534318445,0.00188716165610725,0.00421466103197286
"45","AT-aux-cistrans-IR8-ARF5-1-up",0.970535162577777,0.0000625467923677839,0.000656441391988743
"46","AT-aux-cistrans-IR8-ARF5-2-down",-0.839003841130631,0.00921332781035586,0.0140293855294055
"47","AT-aux-cistrans-IR8-ARF5-2-up",0.88133767217102,0.00381420693347284,0.00690680714980217
"48","AT-aux-cistrans-IR8-ARF5syn-down",-0.945450220023903,0.000389385158271146,0.00130444028020834
"49","AT-aux-cistrans-IR8-ARF5syn-up",0.954384997937484,0.0002292374521493,0.000959931830875192
"50","AT-aux-cistrans-IR8-ARF6-down",-0.962457039032088,0.000128592623185482,0.000789753169755463
"51","AT-aux-cistrans-IR8-ARF6-up",0.673525483172791,0.0670836325967799,0.0788526909470922
"52","AT-aux-cistrans-IR8-ARF8-down",-0.962457039032088,0.000128592623185482,0.000789753169755463
"53","AT-aux-cistrans-IR8-ARF8-up",0.673525483172791,0.0670836325967799,0.0788526909470922
"54","AT-aux-cistrans-IR8-TGTCNN-down",0.234232359319032,0.576613812563738,0.603642585027663
"55","AT-aux-cistrans-IR8-TGTCNN-up",-0.707924895878948,0.0494426585659484,0.0620551416194769
"56","AT-aux-trans-A-ARF",0.856215520859916,0.00665313816956534,0.0103665176130437
"57","AT-aux-trans-ARF",0.916307231920387,0.00137510788170527,0.0031769733818708
"58","AT-aux-trans-ConjugationDeconjugation",0.501764117721903,0.205175035203327,0.23299537895971
"59","AT-aux-trans-IAA",-0.817076062493314,0.0132795818660593,0.0185360830213745
"60","AT-aux-trans-PolarAuxinTransport",-0.891236895660637,0.00295983843525907,0.00572771736221347
"61","AT-aux-trans-Receptors",-0.88506140639041,0.00347638368189558,0.00646993629686121
"62","AT-aux-trans-Synthesis",-0.959555310458716,0.000160419364561593,0.000826776725048211
"63","AT-aux-trans-Transport",-0.110560102645676,0.794382907078974,0.818825458066019
"64","majortrend",-0.870392888994867,0.0049274918164572,0.00846277139545277
"65","random1",0.0737987502492877,0.86212893097429,0.870282091842283
"66","random2",-0.72875677046844,0.0402916383387321,0.0529321523273539
"67","random3",-0.916788833909289,0.00135200835327878,0.0031769733818708
