"id" "iSensor" "effect" "AveExpr" "t" "p_value" "p_adj" "B" "neglog10_fdr"
"1" "AT-aux-trans-IAA" 0.141623137632145 1.1439201895228 44.4114834477246 2.24341446314326e-73 1.34604867788595e-71 156.438460760675 70.8709392342019
"2" "AT-aux-cistrans-DR5-ARF3-up" 0.0902538843737433 1.153108668418 43.1797428783187 4.51948323015519e-72 1.35584496904656e-70 153.412458851149 69.867789966027
"3" "AT-aux-cistrans-IR8-ARF3-up" 0.107874079929605 1.04152805320401 41.3902130939011 4.07221614411451e-70 8.14443228822903e-69 148.876975634676 68.0891391830169
"4" "AT-aux-cistrans-IR8-ARF5-1-up" 0.0829495453751228 1.0747415178298 39.2517579288315 1.10997457484516e-67 1.66496186226773e-66 143.226068081776 65.7785957100234
"5" "AT-aux-cistrans-IR8-TGTCNN-up" 0.0799758979702676 1.09035264231798 38.8287511116452 3.47275719516424e-67 4.16730863419708e-66 142.07671732637 65.3801443341563
"6" "AT-aux-cistrans-IR8-ARF5-2-up" 0.137480818646956 1.05920941435014 36.3851479740042 3.13531374193438e-64 3.13531374193438e-63 135.21914315572 62.5037189940444
"7" "AT-aux-cistrans-DR5-TGTCNN-up" 0.0757928087031727 1.06062243944876 34.5609445169605 6.51871689874486e-62 5.58747162749559e-61 129.841400528163 60.2527846691492
"8" "AT-aux-cistrans-IR8-ARF2-up" 0.0813318595890564 1.0923241678795 33.4589293873184 1.8370688996351e-60 1.37780167472632e-59 126.477440895862 58.860813291696
"9" "AT-aux-cistrans-DR5-ARF6-up" 0.0545437399382065 1.13171346911376 29.6324185907155 4.15697475166944e-55 2.49418485100166e-54 114.055595755027 53.6030713628883
"10" "AT-aux-cistrans-DR5-ARF8-up" 0.0545437399382065 1.13171346911376 29.6324185907155 4.15697475166944e-55 2.49418485100166e-54 114.055595755027 53.6030713628883
"11" "AT-aux-cistrans-DR5-ARF1-up" 0.0613870290827507 1.10046016828068 27.8175292490498 2.2367908984286e-52 1.11844085019076e-51 107.721419299721 50.9513869790372
"12" "AT-aux-trans-ConjugationDeconjugation" 0.0651379194786541 1.1985359557005 27.8175178112058 2.23688170038151e-52 1.11844085019076e-51 107.721378410215 50.9513869790372
"13" "AT-aux-cistrans-DR5-ARF5-2-up" 0.0666989078421055 1.07704426921645 26.6428373582645 1.54628388276776e-50 7.13669484354349e-50 103.454785799567 49.1465028727539
"14" "AT-aux-cis-IR8-ARF5-2" 0.0114869299766286 1.0251530290728 26.1327932504632 1.015256182356e-49 4.35109792438286e-49 101.559429903862 48.3614011425081
"15" "AT-aux-cistrans-DR5-ARF5-1-up" 0.0498843732223884 1.06959086632182 25.871058007856 2.69429150099075e-49 1.0777166003963e-48 100.576476772784 47.9674954275215
"16" "AT-aux-cis-IR8-ARF5-1" 0.00534157631392275 1.03338922018114 25.213838458404 3.2240399112898e-48 1.20901496673368e-47 98.0768068772091 46.9175683228534
"17" "AT-aux-cistrans-IR8-ARF6-up" 0.0533973246945426 1.12513044866207 24.5114752391175 4.81272531348567e-47 1.60424177116189e-46 95.3546373422521 45.7947301797121
"18" "AT-aux-cistrans-IR8-ARF8-up" 0.0533973246945426 1.12513044866207 24.5114752391175 4.81272531348567e-47 1.60424177116189e-46 95.3546373422521 45.7947301797121
"19" "AT-aux-cis-DR5-TGTCNN" 0.00654841577507621 1.0181072291761 20.7997798546575 1.94017677035975e-40 6.12687401166236e-40 80.043047383973 39.2127610500748
"20" "AT-aux-cis-IR8-ARF3" 0.00841834467408809 1.02001439781849 19.953045537947 7.84662112666702e-39 2.35398633800011e-38 76.3198361897441 37.6281960620314
"21" "AT-aux-trans-PolarAuxinTransport" 0.0573495103015966 1.12558727048626 18.5650703834181 4.10031148241228e-36 1.17151756640351e-35 70.0233362256726 34.9312511949587
"22" "AT-aux-cistrans-DR5-ARF2-up" 0.0431131952585968 1.09921758244476 18.0735695720804 3.98747747451407e-35 1.08749385668566e-34 67.7355240089507 33.9635731877205
"23" "AT-aux-trans-A-ARF" 0.0378353718349665 1.13590431591635 17.8100735002549 1.36704862187361e-34 3.56621379619202e-34 66.4964770114387 33.447792624222
"24" "AT-aux-trans-Transport" 0.0336026861772719 1.14145491954438 17.498912665275 5.92353148300337e-34 1.48088287075084e-33 65.0220482230258 32.829479290296
