id,rho.rho,p_value,iSensor,assay,clean_panel,significance,reg_class
1,-0.365561242,0.055750072,AT-aux-cistrans-IR8-ARF5-2-down,iSensor_mean_normed,IR8-ARF5-2-down,not significant,reg
2,-0.302940684,0.117112934,AT-aux-cistrans-IR8-ARF1-down,iSensor_mean_normed,IR8-ARF1-down,not significant,reg
3,-0.249932931,0.199598549,AT-aux-cistrans-IR8-TGTCNN-up,iSensor_mean_normed,IR8-TGTCNN-up,not significant,reg
4,-0.219171955,0.262472904,AT-aux-cistrans-DR5-TGTCNN-down,iSensor_mean_normed,DR5-TGTCNN-down,not significant,reg
5,-0.136501831,0.488547235,AT-aux-cistrans-IR8-TGTCNN-down,iSensor_mean_normed,IR8-TGTCNN-down,not significant,reg
6,-0.123867859,0.530010682,AT-aux-cistrans-IR8-ARF5-2-up,iSensor_mean_normed,IR8-ARF5-2-up,not significant,reg
7,-0.101621082,0.60686935,AT-aux-cistrans-DR5-ARF1-down,iSensor_mean_normed,DR5-ARF1-down,not significant,reg
8,-0.07855035,0.691136001,AT-aux-cistrans-IR8-ARF8-down,iSensor_mean_normed,IR8-ARF8-down,not significant,reg
9,-0.076078485,0.70040491,AT-aux-cis-IR8-ARF6,iSensor_mean_normed,IR8-ARF6,not significant,cis
10,-0.04724007,0.81133258,AT-aux-cistrans-IR8-ARF6-down,iSensor_mean_normed,IR8-ARF6-down,not significant,reg
11,-0.046965419,0.812410183,AT-aux-cistrans-DR5-ARF5-2-up,iSensor_mean_normed,DR5-ARF5-2-up,not significant,reg
12,-0.017303049,0.930360669,AT-aux-cis-IR8-ARF2,iSensor_mean_normed,IR8-ARF2,not significant,cis
13,-0.010162108,0.959068629,AT-aux-cistrans-IR8-ARF2-down,iSensor_mean_normed,IR8-ARF2-down,not significant,reg
14,-0.004943728,0.980081162,AT-aux-cistrans-DR5-ARF5syn-up,iSensor_mean_normed,DR5-ARF5syn-up,not significant,reg
15,-0.004394425,0.982294003,AT-aux-cistrans-IR8-ARF2-up,iSensor_mean_normed,IR8-ARF2-up,not significant,reg
16,0,1,random2,iSensor_mean_normed,random2,not significant,other
17,0.006591638,0.973443569,AT-aux-cistrans-IR8-ARF3-down,iSensor_mean_normed,IR8-ARF3-down,not significant,reg
18,0.018127004,0.927053022,AT-aux-cis-DR5-ARF5syn,iSensor_mean_normed,DR5-ARF5syn,not significant,cis
19,0.026641202,0.892953161,AT-aux-cis-IR8-ARF8,iSensor_mean_normed,IR8-ARF8,not significant,cis
20,0.029937021,0.879799755,AT-aux-cistrans-IR8-ARF1-up,iSensor_mean_normed,IR8-ARF1-up,not significant,reg
21,0.039000523,0.843798502,AT-aux-cistrans-IR8-ARF8-up,iSensor_mean_normed,IR8-ARF8-up,not significant,reg
22,0.043944252,0.824285464,AT-aux-cist-IR8-ARF5-2,iSensor_mean_normed,IR8-ARF5-2,not significant,cis
23,0.058500785,0.767461546,AT-aux-cistrans-IR8-ARF5-1-up,iSensor_mean_normed,IR8-ARF5-1-up,not significant,reg
24,0.079374304,0.688055942,AT-aux-cistrans-DR5-ARF8-up,iSensor_mean_normed,DR5-ARF8-up,not significant,reg
25,0.086515245,0.661570332,AT-aux-cistrans-IR8-ARF5syn-up,iSensor_mean_normed,IR8-ARF5syn-up,not significant,reg
26,0.088987109,0.652492362,AT-aux-cis-IR8-ARF1,iSensor_mean_normed,IR8-ARF1,not significant,cis
27,0.093656186,0.635477419,AT-aux-cis-DR5-ARF1,iSensor_mean_normed,DR5-ARF1,not significant,cis
28,0.11535366,0.55886929,random1,iSensor_mean_normed,random1,not significant,other
29,0.119748085,0.54388515,AT-aux-cistrans-IR8-ARF3-up,iSensor_mean_normed,IR8-ARF3-up,not significant,reg
30,0.121121343,0.539241505,AT-aux-cist-IR8-ARF5-1,iSensor_mean_normed,IR8-ARF5-1,not significant,cis
31,0.143917424,0.465001542,AT-aux-cistrans-DR5-ARF5-1-up,iSensor_mean_normed,DR5-ARF5-1-up,not significant,reg
32,0.146389288,0.457287227,AT-aux-cistrans-IR8-ARF6-up,iSensor_mean_normed,IR8-ARF6-up,not significant,reg
33,0.151333016,0.442063658,AT-aux-cis-IR8-ARF5syn,iSensor_mean_normed,IR8-ARF5syn,not significant,cis
34,0.154354184,0.432896545,AT-aux-cistrans-DR5-ARF6-up,iSensor_mean_normed,DR5-ARF6-up,not significant,reg
35,0.161220473,0.41245228,AT-aux-cistrans-DR5-ARF5-1-down,iSensor_mean_normed,DR5-ARF5-1-down,not significant,reg
36,0.161220473,0.41245228,AT-aux-cistrans-DR5-ARF6-down,iSensor_mean_normed,DR5-ARF6-down,not significant,reg
37,0.168636065,0.390990593,AT-aux-cis-DR5-ARF8,iSensor_mean_normed,DR5-ARF8,not significant,cis
38,0.169734672,0.387866357,AT-aux-cis-DR5-ARF2,iSensor_mean_normed,DR5-ARF2,not significant,cis
39,0.177150264,0.367154999,AT-aux-trans-Receptors,iSensor_mean_normed,Receptors,not significant,trans
40,0.180171431,0.358906744,AT-aux-cis-IR8-ARF3,iSensor_mean_normed,IR8-ARF3,not significant,cis
41,0.181270038,0.355934779,majortrend,iSensor_mean_normed,majortrend,not significant,other
42,0.192805404,0.32561751,AT-aux-cistrans-IR8-ARF5syn-down,iSensor_mean_normed,IR8-ARF5syn-down,not significant,reg
43,0.195826571,0.317946828,AT-aux-cis-IR8-TGTCNN,iSensor_mean_normed,IR8-TGTCNN,not significant,cis
44,0.196650526,0.315874327,AT-aux-cistrans-DR5-ARF3-up,iSensor_mean_normed,DR5-ARF3-up,not significant,reg
45,0.212305665,0.278089544,AT-aux-cist-DR5-ARF5-2,iSensor_mean_normed,DR5-ARF5-2,not significant,cis
46,0.21670009,0.268027824,AT-aux-cis-DR5-TGTCNN,iSensor_mean_normed,DR5-TGTCNN,not significant,cis
47,0.228510108,0.242166757,AT-aux-cistrans-IR8-ARF5-1-down,iSensor_mean_normed,IR8-ARF5-1-down,not significant,reg
48,0.244439899,0.209985685,AT-aux-cist-DR5-ARF5-1,iSensor_mean_normed,DR5-ARF5-1,not significant,cis
49,0.249383627,0.200621061,AT-aux-cistrans-DR5-ARF2-up,iSensor_mean_normed,DR5-ARF2-up,not significant,reg
50,0.249658279,0.200109357,AT-aux-cistrans-DR5-ARF5syn-down,iSensor_mean_normed,DR5-ARF5syn-down,not significant,reg
51,0.27245436,0.160717249,AT-aux-cis-DR5-ARF3,iSensor_mean_normed,DR5-ARF3,not significant,cis
52,0.274651572,0.157235661,AT-aux-cistrans-DR5-ARF3-down,iSensor_mean_normed,DR5-ARF3-down,not significant,reg
53,0.290581363,0.133590112,AT-aux-cis-DR5-ARF6,iSensor_mean_normed,DR5-ARF6,not significant,cis
54,0.363638681,0.05714891,AT-aux-cistrans-DR5-TGTCNN-up,iSensor_mean_normed,DR5-TGTCNN-up,not significant,reg
55,0.386434762,0.042227159,AT-aux-cistrans-DR5-ARF5-2-down,iSensor_mean_normed,DR5-ARF5-2-down,not significant,reg
56,0.405660372,0.032214356,AT-aux-cistrans-DR5-ARF2-down,iSensor_mean_normed,DR5-ARF2-down,not significant,reg
