"","rho.rho","p_value","panel","assay","clean_panel","significance","reg_class"
"1",-0.365561242499155,0.0557500720816695,"AT-aux-cistrans-IR8(ARF5(2))down","iSensor_mean_normed","IR8(ARF5(2))down","not significant","reg"
"2",-0.302940684054521,0.117112934095762,"AT-aux-cistrans-IR8(ARF1)down","iSensor_mean_normed","IR8(ARF1)down","not significant","reg"
"3",-0.249932930634283,0.199598549359513,"AT-aux-cistrans-IR8(TGTCNN)up","iSensor_mean_normed","IR8(TGTCNN)up","not significant","reg"
"4",-0.219171954556218,0.262472904034968,"AT-aux-cistrans-DR5(TGTCNN)down","iSensor_mean_normed","DR5(TGTCNN)down","not significant","reg"
"5",-0.136501831346416,0.488547235096345,"AT-aux-cistrans-IR8(TGTCNN)down","iSensor_mean_normed","IR8(TGTCNN)down","not significant","reg"
"6",-0.123867859028639,0.530010681914115,"AT-aux-cistrans-IR8(ARF5(2))up","iSensor_mean_normed","IR8(ARF5(2))up","not significant","reg"
"7",-0.101621081686467,0.606869349560193,"AT-aux-cistrans-DR5(ARF1)down","iSensor_mean_normed","DR5(ARF1)down","not significant","reg"
"8",-0.0785503496279176,0.691136001355702,"AT-aux-cistrans-IR8(ARF8)down","iSensor_mean_normed","IR8(ARF8)down","not significant","reg"
"9",-0.0760784854787873,0.700404910291857,"AT-aux-cis-IR8(ARF6)","iSensor_mean_normed","IR8(ARF6)","not significant","cis"
"10",-0.0472400704056008,0.811332580493805,"AT-aux-cistrans-IR8(ARF6)down","iSensor_mean_normed","IR8(ARF6)down","not significant","reg"
"11",-0.0469654188334752,0.812410182523779,"AT-aux-cistrans-DR5(ARF5(2))up","iSensor_mean_normed","DR5(ARF5(2))up","not significant","reg"
"12",-0.0173030490439119,0.930360668631517,"AT-aux-cis-IR8(ARF2)","iSensor_mean_normed","IR8(ARF2)","not significant","cis"
"13",-0.0101621081686467,0.959068628538024,"AT-aux-cistrans-IR8(ARF2)down","iSensor_mean_normed","IR8(ARF2)down","not significant","reg"
"14",-0.00494372829826055,0.980081162294871,"AT-aux-cistrans-DR5(ARF5syn)up","iSensor_mean_normed","DR5(ARF5syn)up","not significant","reg"
"15",-0.00439442515400938,0.982294003218702,"AT-aux-cistrans-IR8(ARF2)up","iSensor_mean_normed","IR8(ARF2)up","not significant","reg"
"16",0,1,"random2","iSensor_mean_normed","random2","not significant","other"
"17",0.00659163773101406,0.973443568895166,"AT-aux-cistrans-IR8(ARF3)down","iSensor_mean_normed","IR8(ARF3)down","not significant","reg"
"18",0.0181270037602887,0.927053021631719,"AT-aux-cis-DR5(ARF5syn)","iSensor_mean_normed","DR5(ARF5syn)","not significant","cis"
"19",0.0266412024961818,0.892953160988678,"AT-aux-cis-IR8(ARF8)","iSensor_mean_normed","IR8(ARF8)","not significant","cis"
"20",0.0299370213616889,0.879799754910426,"AT-aux-cistrans-IR8(ARF1)up","iSensor_mean_normed","IR8(ARF1)up","not significant","reg"
"21",0.0390005232418332,0.843798501929723,"AT-aux-cistrans-IR8(ARF8)up","iSensor_mean_normed","IR8(ARF8)up","not significant","reg"
"22",0.0439442515400938,0.824285464472647,"AT-aux-cist-IR8(ARF5(2))","iSensor_mean_normed","IR8(ARF5(2))","not significant","cis"
"23",0.0585007848627498,0.767461545702936,"AT-aux-cistrans-IR8(ARF5(1))up","iSensor_mean_normed","IR8(ARF5(1))up","not significant","reg"
"24",0.0793743043442943,0.688055942256752,"AT-aux-cistrans-DR5(ARF8)up","iSensor_mean_normed","DR5(ARF8)up","not significant","reg"
"25",0.0865152452195596,0.661570331616616,"AT-aux-cistrans-IR8(ARF5syn)up","iSensor_mean_normed","IR8(ARF5syn)up","not significant","reg"
"26",0.0889871093686899,0.652492362128517,"AT-aux-cis-IR8(ARF1)","iSensor_mean_normed","IR8(ARF1)","not significant","cis"
"27",0.0936561860948248,0.635477418783504,"AT-aux-cis-DR5(ARF1)","iSensor_mean_normed","DR5(ARF1)","not significant","cis"
"28",0.115353660292746,0.558869289532116,"random1","iSensor_mean_normed","random1","not significant","other"
"29",0.119748085446755,0.543885150170731,"AT-aux-cistrans-IR8(ARF3)up","iSensor_mean_normed","IR8(ARF3)up","not significant","reg"
"30",0.121121343307383,0.539241505025263,"AT-aux-cist-IR8(ARF5(1))","iSensor_mean_normed","IR8(ARF5(1))","not significant","cis"
"31",0.143917423793807,0.465001542363546,"AT-aux-cistrans-DR5(ARF5(1))up","iSensor_mean_normed","DR5(ARF5(1))up","not significant","reg"
"32",0.146389287942937,0.457287227492065,"AT-aux-cistrans-IR8(ARF6)up","iSensor_mean_normed","IR8(ARF6)up","not significant","reg"
"33",0.151333016241198,0.442063657934256,"AT-aux-cis-IR8(ARF5syn)","iSensor_mean_normed","IR8(ARF5syn)","not significant","cis"
"34",0.154354183534579,0.432896545133029,"AT-aux-cistrans-DR5(ARF6)up","iSensor_mean_normed","DR5(ARF6)up","not significant","reg"
"35",0.161220472837719,0.412452279705124,"AT-aux-cistrans-DR5(ARF5(1))down","iSensor_mean_normed","DR5(ARF5(1))down","not significant","reg"
"36",0.161220472837719,0.412452279705124,"AT-aux-cistrans-DR5(ARF6)down","iSensor_mean_normed","DR5(ARF6)down","not significant","reg"
"37",0.16863606528511,0.39099059268503,"AT-aux-cis-DR5(ARF8)","iSensor_mean_normed","DR5(ARF8)","not significant","cis"
"38",0.169734671573612,0.387866356605591,"AT-aux-cis-DR5(ARF2)","iSensor_mean_normed","DR5(ARF2)","not significant","cis"
"39",0.177150264021003,0.367154999358611,"AT-aux-trans-Receptors","iSensor_mean_normed","Receptors","not significant","trans"
"40",0.180171431314384,0.358906743901386,"AT-aux-cis-IR8(ARF3)","iSensor_mean_normed","IR8(ARF3)","not significant","cis"
"41",0.181270037602887,0.355934779245828,"majortrend","iSensor_mean_normed","majortrend","not significant","other"
"42",0.192805403632161,0.325617509501078,"AT-aux-cistrans-IR8(ARF5syn)down","iSensor_mean_normed","IR8(ARF5syn)down","not significant","reg"
"43",0.195826570925543,0.317946827689333,"AT-aux-cis-IR8(TGTCNN)","iSensor_mean_normed","IR8(TGTCNN)","not significant","cis"
"44",0.19665052564192,0.315874326610658,"AT-aux-cistrans-DR5(ARF3)up","iSensor_mean_normed","DR5(ARF3)up","not significant","reg"
"45",0.212305665253078,0.278089544037444,"AT-aux-cist-DR5(ARF5(2))","iSensor_mean_normed","DR5(ARF5(2))","not significant","cis"
"46",0.216700090407087,0.268027824182461,"AT-aux-cis-DR5(TGTCNN)","iSensor_mean_normed","DR5(TGTCNN)","not significant","cis"
"47",0.228510108008488,0.242166756702535,"AT-aux-cistrans-IR8(ARF5(1))down","iSensor_mean_normed","IR8(ARF5(1))down","not significant","reg"
"48",0.244439899191772,0.209985684830647,"AT-aux-cist-DR5(ARF5(1))","iSensor_mean_normed","DR5(ARF5(1))","not significant","cis"
"49",0.249383627490032,0.200621061312803,"AT-aux-cistrans-DR5(ARF2)up","iSensor_mean_normed","DR5(ARF2)up","not significant","reg"
"50",0.249658279062158,0.200109356697008,"AT-aux-cistrans-DR5(ARF5syn)down","iSensor_mean_normed","DR5(ARF5syn)down","not significant","reg"
"51",0.272454359548581,0.160717248821688,"AT-aux-cis-DR5(ARF3)","iSensor_mean_normed","DR5(ARF3)","not significant","cis"
"52",0.274651572125586,0.157235661465252,"AT-aux-cistrans-DR5(ARF3)down","iSensor_mean_normed","DR5(ARF3)down","not significant","reg"
"53",0.29058136330887,0.133590111652616,"AT-aux-cis-DR5(ARF6)","iSensor_mean_normed","DR5(ARF6)","not significant","cis"
"54",0.363638681494276,0.0571489102469413,"AT-aux-cistrans-DR5(TGTCNN)up","iSensor_mean_normed","DR5(TGTCNN)up","not significant","reg"
"55",0.386434761980699,0.042227159175153,"AT-aux-cistrans-DR5(ARF5(2))down","iSensor_mean_normed","DR5(ARF5(2))down","not significant","reg"
"56",0.40566037202949,0.0322143562911362,"AT-aux-cistrans-DR5(ARF2)down","iSensor_mean_normed","DR5(ARF2)down","not significant","reg"
"57",0.460041383310356,0.013770217610175,"AT-aux-cis-DR5(TGTCGG)","iSensor_mean_normed","DR5(TGTCGG)","significant","cis"
"58",0.481464205936152,0.00948618087888999,"AT-aux-cistrans-DR5(ARF8)down","iSensor_mean_normed","DR5(ARF8)down","significant","reg"
"59",0.513049136730595,0.00523986399799232,"AT-aux-trans-ARF","iSensor_mean_normed","ARF","significant","trans"
"60",0.535845217217018,0.00329393297866493,"AT-aux-cistrans-DR5(ARF1)up","iSensor_mean_normed","DR5(ARF1)up","significant","reg"
"61",0.567979451155712,0.00161697804938915,"AT-aux-trans-A-ARF","iSensor_mean_normed","A-ARF","significant","trans"
"62",0.661360985678411,0.000127140049807253,"AT-aux-trans-Synthesis","iSensor_mean_normed","Synthesis","significant","trans"
"63",0.666579365548797,0.000107487743150324,"AT-aux-trans-IAA","iSensor_mean_normed","IAA","significant","trans"
"64",0.703657327785751,2.94815174843415e-05,"AT-aux-trans-Transport","iSensor_mean_normed","Transport","significant","trans"
"65",0.81077144091473,1.68527434791764e-07,"AT-aux-trans-EffluxInflux","iSensor_mean_normed","PAT","significant","trans"
