iSensor,id__bulk-limma-results,effect__bulk-limma-results,AveExpr__bulk-limma-results,t__bulk-limma-results,p_value__bulk-limma-results,p_adj__bulk-limma-results,B__bulk-limma-results,neglog10_fdr__bulk-limma-results,iSensor_raw.x,id__iSensors_spearman_sc-endo,rho.rho__iSensors_spearman_sc-endo,p_value__iSensors_spearman_sc-endo,assay__iSensors_spearman_sc-endo,clean_panel__iSensors_spearman_sc-endo,significance__iSensors_spearman_sc-endo,reg_class__iSensors_spearman_sc-endo,iSensor_raw.y,Rho1__PerformanseTest1_stat,p-value__PerformanseTest1_stat,iSensor_raw.x.x,id__Statistics-exo-scdata,estimate__Statistics-exo-scdata,std.error__Statistics-exo-scdata,statistic__Statistics-exo-scdata,p.value__Statistics-exo-scdata,p_adj__Statistics-exo-scdata,effect__Statistics-exo-scdata,lo__Statistics-exo-scdata,hi__Statistics-exo-scdata,term__Statistics-exo-scdata,class__Statistics-exo-scdata,iSensor_raw.y.y,id__Statistics-rho-exo-scdata,rho__Statistics-rho-exo-scdata,p_value__Statistics-rho-exo-scdata,p_adj__Statistics-rho-exo-scdata,iSensor_raw
A-ARF,23,0.0378353718349665,1.13590431591635,17.8100735002549,1.36704862187361e-34,3.56621379619202e-34,66.4964770114387,33.447792624222,AT-aux-trans-A-ARF,61,0.567979451,0.001616978,iSensor_mean_normed,A-ARF,significant,trans,AT-aux-trans-A-ARF,0.806304948,1.16e-10,AT-aux-trans-A-ARF,43,0.246740588,0.060778794,4.059649294,0.006653138,0.010366518,0.246740588,0.127614152,0.365867024,conditionAuxin,Up,AT-aux-trans-A-ARF,56,0.856215520859916,0.00665313816956534,0.0103665176130437,AT-aux-trans-A-ARF
ARF,28,0.0298538012231595,0.99065094964127,16.8695898575298,1.19320147786743e-32,2.55686030971591e-32,62.0029868203057,31.5922929983627,AT-aux-trans-ARF,59,0.513049137,0.005239864,iSensor_mean_normed,ARF,significant,trans,AT-aux-trans-ARF,0.842210105,2.74e-12,AT-aux-trans-ARF,28,0.298387128,0.053240225,5.604542981,0.001375108,0.003176973,0.298387128,0.194036288,0.402737969,conditionAuxin,Up,AT-aux-trans-ARF,57,0.916307231920387,0.00137510788170527,0.0031769733818708,AT-aux-trans-ARF
ConjugationDeconjugation,12,0.0651379194786541,1.1985359557005,27.8175178112058,2.23688170038151e-52,1.11844085019076e-51,107.721378410215,50.9513869790372,AT-aux-trans-ConjugationDeconjugation,NA,NA,NA,NA,NA,NA,NA,NA,0.730852081,3.9e-8,AT-aux-trans-ConjugationDeconjugation,59,0.112913601,0.079467471,1.42087824,0.205175035,0.232995379,0.112913601,-0.042842643,0.268669844,conditionAuxin,n.s.,AT-aux-trans-ConjugationDeconjugation,58,0.501764117721903,0.205175035203327,0.23299537895971,AT-aux-trans-ConjugationDeconjugation
DR5-ARF1,42,0.00320840165378778,1.04784720993888,9.15027438336022,2.8216801851547e-15,4.03097169307815e-15,21.9022401891567,14.3945902516071,AT-aux-cis-DR5-ARF1,27,0.093656186,0.635477419,iSensor_mean_normed,DR5-ARF1,not significant,cis,AT-aux-cis-DR5-ARF1,0.234944617,0.134206419,AT-aux-cis-DR5-ARF1,49,-0.036443598,0.011109608,-3.280367604,0.016814854,0.02299174,-0.036443598,-0.05821843,-0.014668766,conditionAuxin,Down,AT-aux-cis-DR5-ARF1,1,-0.801262821241142,0.0168148544135534,0.0229917397083281,AT-aux-cis-DR5-ARF1
DR5-ARF1-down,49,-0.0198569305628164,1.14731476845197,-6.93780209487661,2.63834690557619e-10,3.20643223092035e-10,10.5263027976585,9.49397793461727,AT-aux-cistrans-DR5-ARF1-down,7,-0.101621082,0.60686935,iSensor_mean_normed,DR5-ARF1-down,not significant,reg,AT-aux-cistrans-DR5-ARF1-down,-0.607525671,1.99e-5,AT-aux-cistrans-DR5-ARF1-down,35,-0.206560991,0.043008229,-4.802824854,0.002992091,0.005727717,-0.206560991,-0.29085712,-0.122264862,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF1-down,20,-0.890831772976002,0.00299209115936524,0.00572771736221347,AT-aux-cistrans-DR5-ARF1-down
DR5-ARF1-up,11,0.0613870290827507,1.10046016828068,27.8175292490498,2.2367908984286e-52,1.11844085019076e-51,107.721419299721,50.9513869790372,AT-aux-cistrans-DR5-ARF1-up,60,0.535845217,0.003293933,iSensor_mean_normed,DR5-ARF1-up,significant,reg,AT-aux-cistrans-DR5-ARF1-up,0.782888541,9e-10,AT-aux-cistrans-DR5-ARF1-up,45,0.184218206,0.049095965,3.752206614,0.009485096,0.014122254,0.184218206,0.087990114,0.280446298,conditionAuxin,Up,AT-aux-cistrans-DR5-ARF1-up,21,0.837365600182366,0.00948509613646611,0.0141222542476273,AT-aux-cistrans-DR5-ARF1-up
DR5-ARF2,55,6.99923109166319e-4,1.02747159588676,3.52859640956203,6.05203115230014e-4,6.60221580250925e-4,-3.74104037145849,3.1803102842609,AT-aux-cis-DR5-ARF2,38,0.169734672,0.387866357,iSensor_mean_normed,DR5-ARF2,not significant,cis,AT-aux-cis-DR5-ARF2,-0.080916695,0.61046409,AT-aux-cis-DR5-ARF2,14,-0.095238156,0.011784261,-8.081809628,1.92288e-4,9.20234e-4,-0.095238156,-0.118335308,-0.072141004,conditionAuxin,Down,AT-aux-cis-DR5-ARF2,2,-0.957009399340976,1.9228760220741e-4,9.2023352484978e-4,AT-aux-cis-DR5-ARF2
DR5-ARF2-down,39,-0.0256162294079369,1.13675725405784,-11.2343135676724,4.05359559996763e-20,6.23630092302712e-20,33.0462086247929,19.205072936771,AT-aux-cistrans-DR5-ARF2-down,56,0.405660372,0.032214356,iSensor_mean_normed,DR5-ARF2-down,not significant,reg,AT-aux-cistrans-DR5-ARF2-down,-0.520624782,4.08458e-4,AT-aux-cistrans-DR5-ARF2-down,12,-0.470918549,0.0561817,-8.382063066,1.56921e-4,8.26777e-4,-0.470918549,-0.58103468,-0.360802418,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF2-down,22,-0.959854542510986,1.5692074685806e-4,8.2677672504821e-4,AT-aux-cistrans-DR5-ARF2-down
DR5-ARF2-up,22,0.0431131952585968,1.09921758244476,18.0735695720804,3.98747747451407e-35,1.08749385668566e-34,67.7355240089507,33.9635731877205,AT-aux-cistrans-DR5-ARF2-up,49,0.249383627,0.200621061,iSensor_mean_normed,DR5-ARF2-up,not significant,reg,AT-aux-cistrans-DR5-ARF2-up,0.803703125,1.48e-10,AT-aux-cistrans-DR5-ARF2-up,55,0.095751172,0.040744568,2.350035251,0.057055693,0.069504208,0.095751172,0.015891818,0.175610526,conditionAuxin,n.s.,AT-aux-cistrans-DR5-ARF2-up,23,0.692305682150823,0.05705569304899,0.0695042078960424,AT-aux-cistrans-DR5-ARF2-up
DR5-ARF3,34,0.00522604286763637,1.01813424996924,14.1045416931696,1.13236927231014e-26,1.99829871584142e-26,48.1763582426998,25.6993395907123,AT-aux-cis-DR5-ARF3,51,0.27245436,0.160717249,iSensor_mean_normed,DR5-ARF3,not significant,cis,AT-aux-cis-DR5-ARF3,0.820875157,2.8e-11,AT-aux-cis-DR5-ARF3,52,-0.029901037,0.012030358,-2.485465137,0.047452731,0.061141019,-0.029901037,-0.053480539,-0.006321534,conditionAuxin,n.s.,AT-aux-cis-DR5-ARF3,3,-0.712242603370861,0.0474527313952645,0.0611410192977446,AT-aux-cis-DR5-ARF3
