iSensor,reg_class__iSensors_spearman_sc-endo,Rho1__PerformanseTest1_stat,p-value__PerformanseTest1_stat,Rho__PerformanseTest3_stat,p3__PerformanseTest3_stat,rho.rho__iSensors_spearman_sc-endo,p_value__iSensors_spearman_sc-endo,estimate__Statistics-exo-scdata,p_adj__Statistics-exo-scdata
A-ARF,trans,0.806304948,1.16E-10,0.786770591,6.87E-07,0.567979451,0.001616978,0.246740588,0.010366518
ARF,trans,0.842210105,2.74E-12,0.831349337,4.27E-08,0.513049137,0.005239864,0.298387128,0.003176973
ConjugationDeconjugation,reg,0.730852081,3.90E-08,0.911059679,1.67E-11,0.11,0.5,0.112913601,0.232995379
DR5-ARF1,cis,0.234944617,0.134206419,0.765809723,2.04E-06,0.093656186,0.635477419,-0.036443598,0.02299174
DR5-ARF1-down,reg,-0.607525671,1.99E-05,-0.814521599,1.33E-07,-0.101621082,0.60686935,-0.206560991,0.005727717
DR5-ARF1-up,reg,0.782888541,9.00E-10,0.86205258,3.76E-09,0.535845217,0.003293933,0.184218206,0.014122254
DR5-ARF2,cis,-0.080916695,0.61046409,0.571257446,0.001497662,0.169734672,0.387866357,-0.095238156,9.20E-04
DR5-ARF2-down,reg,-0.520624782,4.08E-04,-0.809207576,1.86E-07,0.405660372,0.032214356,-0.470918549,8.27E-04
DR5-ARF2-up,reg,0.803703125,1.48E-10,0.825149644,6.58E-08,0.249383627,0.200621061,0.095751172,0.069504208
DR5-ARF3,cis,0.820875157,2.80E-11,0.687870723,5.23E-05,0.27245436,0.160717249,-0.029901037,0.061141019
DR5-ARF3-down,reg,-0.690263642,4.24E-07,-0.817473833,1.10E-07,0.274651572,0.157235661,-0.425679879,0.00826909
DR5-ARF3-up,reg,0.809427136,8.65E-11,0.79857953,3.52E-07,0.196650526,0.315874327,0.696977411,9.27E-04
DR5-ARF5-1,cis,0.57578343,6.62E-05,0.462319979,0.013249385,0.244439899,0.209985685,-0.076988293,0.001855497
DR5-ARF5-1-down,reg,-0.267727587,0.086499324,-0.83075889,4.46E-08,0.161220473,0.41245228,-0.383030654,6.56E-04
DR5-ARF5-1-up,reg,0.779766353,1.16E-09,0.836072913,3.04E-08,0.143917424,0.465001542,0.242779606,0.00130444
DR5-ARF5-2,cis,-0.188632168,0.231556199,0.591037419,9.27E-04,0.212305665,0.278089544,-0.070763235,0.002161006
DR5-ARF5-2-down,reg,-0.470669781,0.001657118,-0.781161345,9.31E-07,0.386434762,0.042227159,-0.054814608,0.123216343
DR5-ARF5-2-up,reg,0.779245989,1.21E-09,0.819245174,9.78E-08,-0.046965419,0.812410183,0.212402515,0.018536083
