"subtype","ARF","Synthesis","Conjugation","PAT","n_cells","ARF_hat","residual","tissue"
"Atrichoblast_d",0.154650866785207,0.0407403515108037,0.0474755917947358,0.146776446451694,47,0.142347587894667,0.0123032788905394,"Epidermis"
"Atrichoblast_m1",0.18135501547582,0.0140236091248903,0.0550608117809296,0.185076479648823,129,0.173265153318677,0.00808986215714341,"Epidermis"
"Atrichoblast_m2",0.153511287154732,0.0211239006540708,0.0542281654241223,0.111236829469475,549,0.165452380697019,-0.0119410935422873,"Epidermis"
"Atrichoblast_t",0.196945288724058,0.0493884884761389,0.0623872410212104,0.13756163450198,63,0.185215576593874,0.0117297121301833,"Epidermis"
"CEI",0.207185125806306,0.0288147437471962,0.0445126410079697,0.11436740815387,18,0.134398080787304,0.0727870450190026,"Stem cell niche"
"Cortex_m1",0.153498948396619,0.0250369992783447,0.044947393636056,0.0959008038435208,1245,0.13563798182459,0.0178609665720288,"Cortex"
"Cortex_m2",0.143983938670171,0.0294948585736056,0.0454923333853921,0.0944963113651011,2776,0.136224786395179,0.00775915227499109,"Cortex"
"Cortex_t",0.1416938939596,0.0351793671139189,0.0365696385005735,0.0938740520873339,1397,0.10783788684829,0.0338560071113099,"Cortex"
"Endodermis_m1",0.273981063004524,0.0584519418819107,0.0628827125628653,0.1848199867639,303,0.187058839234095,0.0869222237704294,"Endodermis"
"Endodermis_t",0.217492975740664,0.0522856970072634,0.0465149077246585,0.131393094612811,599,0.136079065992179,0.081413909748485,"Endodermis"
"LRC",0.132367791583817,0.0200762773361523,0.036883218523426,0.246827794413887,517,0.1198263266385,0.0125414649453166,"Root cap"
"LRP",0.13844744016538,0.0322440760838046,0.0393540308632621,0.101954068244168,2539,0.117350837850849,0.021096602314531,"Lateral root primordium"
"Metaxylem_d",0.279950532252069,0.173649730854081,0.135243363732583,0.320241159907176,24,0.387722682507245,-0.107772150255176,"Xylem"
"Procambium_d",0.420540090968251,0.0815206581106508,0.0892411239013575,0.177827429962639,12,0.261558991643531,0.158981099324721,"Procambium"
"Protoxylem_d",0.17951219462578,0.058752282161531,0.0459703736411655,0.10731840560681,81,0.13177442254192,0.0477377720838601,"Xylem"
"Protoxylem_t",0.201787772053794,0.0714140339032899,0.119472850616763,0.308298574493795,50,0.362119243260096,-0.160331471206302,"Xylem"
"SI",0.176008331038187,0.0195459298304073,0.0439552219339226,0.114533341812747,217,0.134787355011507,0.0412209760266798,"Stem cell niche"
"Trichoblast_e1",0.129036369635814,0.0303558836020107,0.0381271155582719,0.12470598385857,353,0.115188137113753,0.0138482325220611,"Epidermis"
"Trichoblast_t",0.118762772494343,0.0311922385840044,0.044965447831776,0.0774969232237905,5456,0.13339463065104,-0.0146318581566968,"Epidermis"
"XPP_m1",0.198809833179853,0.0636540296978511,0.0725250515578609,0.184561066347516,159,0.215151257156153,-0.0163414239763006,"Pericycle (XPP)"
"XPP_m2",0.188070353258235,0.0733753359014856,0.0670875107821191,0.203447028845835,374,0.197417355714305,-0.00934700245607057,"Pericycle (XPP)"
"XPP_t",0.140904856097623,0.0488328977905243,0.0467071756834856,0.131617990400846,24,0.137446170189303,0.00345868590831965,"Pericycle (XPP)"
"Young LRC",0.13808823615713,0.0199123128163679,0.0423728612628373,0.266700732236681,248,0.137521618085356,0.000566618071774294,"Root cap"
