"subtype","n_cells","in_primary_model"
"Trichoblast_t",5456,TRUE
"Cortex_m2",2776,TRUE
"LRP",2539,TRUE
"Cortex_t",1397,TRUE
"Cortex_m1",1245,TRUE
"Endodermis_t",599,TRUE
"Atrichoblast_m2",549,TRUE
"LRC",517,TRUE
"XPP_m2",374,TRUE
"Trichoblast_e1",353,TRUE
"Endodermis_m1",303,TRUE
"Young LRC",248,TRUE
"SI",217,TRUE
"XPP_m1",159,TRUE
"Atrichoblast_m1",129,TRUE
"Protoxylem_d",81,TRUE
"Atrichoblast_t",63,TRUE
"Protoxylem_t",50,TRUE
"Atrichoblast_d",47,TRUE
"Metaxylem_d",24,TRUE
"XPP_t",24,TRUE
"CEI",18,TRUE
"Procambium_d",12,TRUE
"PPP_t",8,FALSE
"Protoxylem_e2",6,FALSE
"LRCEI",3,FALSE
"PCC_e1",2,FALSE
"PSE_t",1,FALSE
"Trichoblast_m2",1,FALSE
