"Tissue_Broad","mean_residual","SE","n"
"Cortex",0.00101934952016732,0.0217719880537496,2
"Endodermal",0.0361243563042905,0.0153825176749568,2
"Epidermis",-0.00705934651172126,0.00968148041635175,12
"Fibers",0.0220051864461272,0.00741688749738082,3
"Meristematic",0.0316702538287809,0.00513527211264848,7
"Mesophyll",-0.0177980373024511,0.0081126423383647,2
"Parenchyma",-0.00720608031289292,0.024717050639941,4
"Reproductive",0.0378950958821952,0.0183937290228853,9
"Unknown",0.0206972139789284,0.0143386105469149,5
"Vascular",-0.027704756637186,0.0181242074186837,9
