iSensor,Rho1,p1,bonferroni1,BH1
ATH-aux-cis-DR5-ARF1,0.184989615,0.240857701,1,0.262362853
ATH-aux-cis-DR5-ARF2,-0.205804199,0.191022172,1,0.211860954
ATH-aux-cis-DR5-ARF3,0.822436251,2.39E-11,1.46E-09,3.64E-10
ATH-aux-cis-DR5-ARF5-1,0.430601707,0.004419063,0.269562851,0.005501283
ATH-aux-cis-DR5-ARF5-2,-0.25003519,0.110266978,1,0.12691105
ATH-aux-cis-DR5-ARF6,0.691824736,3.90E-07,2.38E-05,6.60E-07
ATH-aux-cis-DR5-ARF8,0.605444212,2.16E-05,0.00131564,3.29E-05
ATH-aux-cis-DR5-TGTCGG,0.694946924,3.28E-07,2.00E-05,5.72E-07
ATH-aux-cis-DR5-TGTCNN,0.853137762,7.24E-13,4.42E-11,4.42E-11
ATH-aux-cis-IR8-ARF1,0.034083881,0.830324942,1,0.85847155
ATH-aux-cis-IR8-ARF2,0.563815044,0.000100972,0.006159312,0.000133898
ATH-aux-cis-IR8-ARF3,0.768838697,2.74E-09,1.67E-07,8.35E-09
ATH-aux-cis-IR8-ARF5-1,0.795377291,3.12E-10,1.90E-08,1.90E-09
ATH-aux-cis-IR8-ARF5-2,0.723566977,6.17E-08,3.76E-06,1.11E-07
ATH-aux-cis-IR8-ARF6,-0.009626745,0.951751855,1,0.951751855
ATH-aux-cis-IR8-ARF8,0.744381561,1.60E-08,9.74E-07,3.61E-08
ATH-aux-cis-IR8-TGTCNN,0.130351332,0.410622734,1,0.431861841
ATH-aux-reg-DR5-ARF1-down,-0.583068534,5.08E-05,0.003096398,7.37E-05
ATH-aux-reg-DR5-ARF1-up,0.775083072,1.69E-09,1.03E-07,6.31E-09
ATH-aux-reg-DR5-ARF2-down,-0.519584053,0.00042149,0.025710875,0.00054704
ATH-aux-reg-DR5-ARF2-up,0.799540208,2.16E-10,1.31E-08,1.68E-09
ATH-aux-reg-DR5-ARF3-down,-0.665286141,1.54E-06,9.37E-05,2.40E-06
ATH-aux-reg-DR5-ARF3-up,0.817752969,3.84E-11,2.34E-09,4.69E-10
ATH-aux-reg-DR5-ARF5-1-down,-0.292705088,0.059954048,1,0.071709744
ATH-aux-reg-DR5-ARF5-1-up,0.777684895,1.37E-09,8.37E-08,5.98E-09
ATH-aux-reg-DR5-ARF5-2-down,-0.460782853,0.002134212,0.130186905,0.002712227
ATH-aux-reg-DR5-ARF5-2-up,0.781847812,9.80E-10,5.98E-08,4.60E-09
ATH-aux-reg-DR5-ARF6-down,-0.570059419,8.12E-05,0.004951067,0.000112524
ATH-aux-reg-DR5-ARF6-up,0.797979114,2.48E-10,1.51E-08,1.68E-09
ATH-aux-reg-DR5-ARF8-down,-0.677774892,8.19E-07,5.00E-05,1.32E-06
ATH-aux-reg-DR5-ARF8-up,0.799019844,2.26E-10,1.38E-08,1.68E-09
ATH-aux-reg-DR5-TGTCNN-down,-0.572661242,7.40E-05,0.004514579,0.00010499
ATH-aux-reg-DR5-TGTCNN-up,0.775603437,1.62E-09,9.87E-08,6.31E-09
ATH-aux-reg-IR8-ARF1-down,-0.598679472,2.81E-05,0.001715769,4.18E-05
ATH-aux-reg-IR8-ARF1-up,0.686100725,5.30E-07,3.23E-05,8.74E-07
ATH-aux-reg-IR8-ARF2-down,-0.788092187,5.84E-10,3.56E-08,2.97E-09
ATH-aux-reg-IR8-ARF2-up,0.748544477,1.20E-08,7.32E-07,2.81E-08
ATH-aux-reg-IR8-ARF3-down,0.011708204,0.941336317,1,0.951751855
ATH-aux-reg-IR8-ARF3-up,0.772481249,2.07E-09,1.26E-07,7.01E-09
ATH-aux-reg-IR8-ARF5-1-down,-0.737616821,2.51E-08,1.53E-06,5.11E-08
ATH-aux-reg-IR8-ARF5-1-up,0.788612552,5.59E-10,3.41E-08,2.97E-09
ATH-aux-reg-IR8-ARF5-2-down,-0.846893387,1.57E-12,9.56E-11,4.78E-11
ATH-aux-reg-IR8-ARF5-2-up,0.7511463,1.00E-08,6.10E-07,2.44E-08
ATH-aux-reg-IR8-ARF6-down,-0.734494633,3.08E-08,1.88E-06,5.87E-08
ATH-aux-reg-IR8-ARF6-up,0.774562707,1.76E-09,1.07E-07,6.31E-09
ATH-aux-reg-IR8-ARF8-down,-0.770920155,2.33E-09,1.42E-07,7.49E-09
ATH-aux-reg-IR8-ARF8-up,0.75218703,9.30E-09,5.67E-07,2.36E-08
ATH-aux-reg-IR8-TGTCNN-down,-0.765196145,3.61E-09,2.20E-07,1.00E-08
ATH-aux-reg-IR8-TGTCNN-up,0.741779738,1.90E-08,1.16E-06,4.00E-08
ATH-aux-trans-A-ARF,0.806304948,1.16E-10,7.08E-09,1.18E-09
ATH-aux-trans-ARF,0.840128647,3.48E-12,2.12E-10,7.08E-11
ATH-aux-trans-ConjugationDeconjugation,0.736055727,2.78E-08,1.70E-06,5.48E-08
ATH-aux-trans-IAA,0.743340831,1.71E-08,1.04E-06,3.73E-08
ATH-aux-trans-PolarAuxinTransport,0.753227759,8.64E-09,5.27E-07,2.29E-08
ATH-aux-trans-Receptors,-0.164695396,0.297283953,1,0.318145985
ATH-aux-trans-Synthesis,-0.25107592,0.108744324,1,0.12691105
ATH-aux-trans-Transport,0.729290987,4.31E-08,2.63E-06,7.96E-08
random1,0.765716509,3.47E-09,2.12E-07,1.00E-08
random2,-0.56901869,8.42E-05,0.005136144,0.000114137
random3,0.229740971,0.14329849,1,0.161874221
majortrend,-0.414990769,0.006281336,0.383161492,0.00766323
