"iSensor","Rho3","p3","bonferroni3","BH3"
"ATH-aux-cis-DR5-ARF1",0.842863053256492,1.82568780805404e-08,1.11366956291296e-06,7.94505246368149e-08
"ATH-aux-cis-DR5-ARF2",0.579523703517511,0.0012300325671441,0.07503198659579,0.00144292281914981
"ATH-aux-cis-DR5-ARF3",0.701746226826859,3.16620894272218e-05,0.00193138745506053,3.94160705114393e-05
"ATH-aux-cis-DR5-ARF5-1",0.386447543507092,0.0422197643733391,1,0.0451825548556787
"ATH-aux-cis-DR5-ARF5-2",0.536421074524359,0.00325417404375726,0.198504616669193,0.00367601141979987
"ATH-aux-cis-DR5-ARF6",0.719754859488381,1.58014055995364e-05,0.000963885741571718,2.00809529494108e-05
"ATH-aux-cis-DR5-ARF8",0.604912923335395,0.000649618566468155,0.0396267325545574,0.000776994755971714
"ATH-aux-cis-DR5-TGTCGG",0.826035314539988,6.19342183981356e-08,3.77798732228627e-06,1.98841438015067e-07
"ATH-aux-cis-DR5-TGTCNN",0.841977382797729,1.95370142549543e-08,1.19175786955221e-06,7.94505246368149e-08
"ATH-aux-cis-IR8-ARF1",-0.304080190842097,0.115673078152926,1,0.121656168402216
"ATH-aux-cis-IR8-ARF2",0.855557663165434,6.58731406140731e-09,4.01826157745846e-07,4.46473508606495e-08
"ATH-aux-cis-IR8-ARF3",0.824559197108715,6.85124499944922e-08,4.17925944966402e-06,1.99012354745906e-07
"ATH-aux-cis-IR8-ARF5-1",0.863823920780559,3.21582226851671e-09,1.96165158379519e-07,2.80235940542171e-08
"ATH-aux-cis-IR8-ARF5-2",0.852900651789144,8.21779662763569e-09,5.01285594285777e-07,5.01285594285777e-08
"ATH-aux-cis-IR8-ARF6",0.281347982400503,0.146957178790891,1,0.151938778071939
"ATH-aux-cis-IR8-ARF8",0.868252273074376,2.14793093853888e-09,1.31023787250872e-07,2.18372978751453e-08
"ATH-aux-cis-IR8-TGTCNN",0.501289479660078,0.00657799552793629,0.401257727204114,0.00716531655721632
"ATH-aux-reg-DR5-ARF1-down",-0.809502799309738,1.82410733742773e-07,1.11270547583092e-05,3.83691543389972e-07
"ATH-aux-reg-DR5-ARF1-up",0.862052579863032,3.76443738978362e-09,2.29630680776801e-07,2.87038350971001e-08
"ATH-aux-reg-DR5-ARF2-down",-0.802712659125885,2.7596283980035e-07,1.68337332278214e-05,5.10113128115799e-07
"ATH-aux-reg-DR5-ARF2-up",0.825149644081224,6.58085954901924e-08,4.01432432490174e-06,1.99012354745906e-07
"ATH-aux-reg-DR5-ARF3-down",-0.817473833438608,1.09827309515805e-07,6.6994658804641e-06,2.79144411686004e-07
"ATH-aux-reg-DR5-ARF3-up",0.798579530318323,3.52339201200149e-07,2.14926912732091e-05,5.97019202033585e-07
"ATH-aux-reg-DR5-ARF5-1-down",-0.841977382797729,1.95370142549545e-08,1.19175786955222e-06,7.94505246368149e-08
"ATH-aux-reg-DR5-ARF5-1-up",0.836072913072639,3.03812929429381e-08,1.85325886951923e-06,1.15828679344952e-07
"ATH-aux-reg-DR5-ARF5-2-down",-0.773780757472948,1.36889431087537e-06,8.35025529633974e-05,1.89778529462267e-06
"ATH-aux-reg-DR5-ARF5-2-up",0.813340704631046,1.43303677530474e-07,8.74152432935893e-06,3.36212474206113e-07
"ATH-aux-reg-DR5-ARF6-down",-0.793265507565742,4.78494427629706e-07,2.91881600854121e-05,7.42025330832989e-07
"ATH-aux-reg-DR5-ARF6-up",0.803598329584648,2.61692341177402e-07,1.59632328118215e-05,4.98851025369422e-07
