"panel","rho","p_value","reg_class","clean_panel","significance"
"ATH-aux-reg-IR8-ARF5-2-down",-0.314449408985134,0.154082479643334,"reg","IR8-ARF5-2-down","not significant"
"ATH-aux-reg-IR8-TGTCNN-up",-0.249859800653052,0.262100349865193,"reg","IR8-TGTCNN-up","not significant"
"ATH-aux-reg-IR8-ARF1-down",-0.23229595979082,0.298209143209443,"reg","IR8-ARF1-down","not significant"
"ATH-aux-reg-IR8-ARF5-2-up",-0.152408812643245,0.498339069517598,"reg","IR8-ARF5-2-up","not significant"
"ATH-aux-reg-DR5-ARF1-down",-0.15070908610819,0.503198414340617,"reg","DR5-ARF1-down","not significant"
"ATH-aux-cis-IR8-ARF2",-0.0968844124981224,0.667985974071621,"cis","IR8-ARF2","not significant"
"ATH-aux-cis-IR8-ARF6",-0.0787539961242047,0.72756326509932,"cis","IR8-ARF6","not significant"
"ATH-aux-reg-DR5-TGTCNN-down",-0.0645896083320816,0.775210345946177,"reg","DR5-TGTCNN-down","not significant"
"ATH-aux-reg-DR5-ARF5-2-up",-0.0555244001451228,0.806131645026651,"reg","DR5-ARF5-2-up","not significant"
"ATH-aux-reg-IR8-ARF2-up",-0.0509917960516433,0.821700894166428,"reg","IR8-ARF2-up","not significant"
"ATH-aux-reg-IR8-TGTCNN-down",-0.0475923429815338,0.833420840467989,"reg","IR8-TGTCNN-down","not significant"
"ATH-aux-reg-IR8-ARF5-1-up",-0.0328613796777257,0.884572616993457,"reg","IR8-ARF5-1-up","not significant"
"ATH-aux-reg-IR8-ARF6-down",0.00793205716358896,0.972053173464361,"reg","IR8-ARF6-down","not significant"
"ATH-aux-reg-IR8-ARF3-up",0.0464591919581639,0.837335218581867,"reg","IR8-ARF3-up","not significant"
"ATH-aux-reg-IR8-ARF8-up",0.0521249470750132,0.817802264691988,"reg","IR8-ARF8-up","not significant"
"ATH-aux-cis-IR8-ARF5-2",0.053258098098383,0.813907789226621,"cis","IR8-ARF5-2","not significant"
"ATH-aux-reg-DR5-ARF8-up",0.0555244001451228,0.806131645026651,"reg","DR5-ARF8-up","not significant"
"ATH-aux-reg-DR5-ARF5-1-up",0.068555636913876,0.761782127713219,"reg","DR5-ARF5-1-up","not significant"
