"organ","tissue_simple","sensor","value"
"Root 6 DAG","cortex","ARF",0.133451039285422
"Root 6 DAG","cortex","ConjugationDeconjugation",0.279322843281887
"Root 6 DAG","cortex","PAT",0.180917273569328
"Root 6 DAG","cortex","Synthesis",0.0304446599747917
"Root 6 DAG","dividing cell","ARF",0.124769633112591
"Root 6 DAG","dividing cell","ConjugationDeconjugation",0.111333028965683
"Root 6 DAG","dividing cell","PAT",0.181860380362395
"Root 6 DAG","dividing cell","Synthesis",0.0200111859406026
"Root 6 DAG","endodermis","ARF",0.111597922910886
"Root 6 DAG","endodermis","ConjugationDeconjugation",0.143182626471604
"Root 6 DAG","endodermis","PAT",0.0868928753932109
"Root 6 DAG","endodermis","Synthesis",0.0192770852623358
"Root 6 DAG","epidermis","ARF",0.0653597262785749
"Root 6 DAG","epidermis","ConjugationDeconjugation",0.113848033994006
"Root 6 DAG","epidermis","PAT",0.104404126400763
"Root 6 DAG","epidermis","Synthesis",0.175247245289796
"Root 6 DAG","initial cell","ARF",0.0924549926818861
"Root 6 DAG","initial cell","ConjugationDeconjugation",0.112675150218095
"Root 6 DAG","initial cell","PAT",0.13736900447877
"Root 6 DAG","initial cell","Synthesis",0.014143367704317
"Root 6 DAG","pericycle","ARF",0.129093044757129
"Root 6 DAG","pericycle","ConjugationDeconjugation",0.157248097599642
"Root 6 DAG","pericycle","PAT",0.138322482331659
"Root 6 DAG","pericycle","Synthesis",0.0518356612919943
"Root 6 DAG","phloem","ARF",0.134723779145446
"Root 6 DAG","phloem","ConjugationDeconjugation",0.134408833947599
"Root 6 DAG","phloem","PAT",0.371746873709369
"Root 6 DAG","phloem","Synthesis",0.0752612859287031
"Root 6 DAG","procambium","ARF",0.109952915860011
"Root 6 DAG","procambium","ConjugationDeconjugation",0.0997928004338301
"Root 6 DAG","procambium","PAT",0.296146908771959
"Root 6 DAG","procambium","Synthesis",0.0234193475222111
"Root 6 DAG","root cap","ARF",0.0592655979871112
"Root 6 DAG","root cap","ConjugationDeconjugation",0.130748331706498
"Root 6 DAG","root cap","PAT",0.0268164287700738
"Root 6 DAG","root cap","Synthesis",0.019974841759005
"Root 6 DAG","suberized endodermis","ARF",0.126884760108265
"Root 6 DAG","suberized endodermis","ConjugationDeconjugation",0.184802126540957
