"organ","tissue_simple","sensor","value"
"Rosette 14 DAG","bundle-sheath","A-ARF",0.115389097596347
"Rosette 14 DAG","bundle-sheath","ConjugationDeconjugation",0.0826401145159871
"Rosette 14 DAG","bundle-sheath","PAT",0.348315515341287
"Rosette 14 DAG","bundle-sheath","Synthesis",0.0162246045283616
"Rosette 14 DAG","companion-cell","A-ARF",0.106413885081693
"Rosette 14 DAG","companion-cell","ConjugationDeconjugation",0.0785149472211886
"Rosette 14 DAG","companion-cell","PAT",0.160789291890043
"Rosette 14 DAG","companion-cell","Synthesis",0.0178654762943498
"Rosette 14 DAG","dividing cell","A-ARF",0.114726047157465
"Rosette 14 DAG","dividing cell","ConjugationDeconjugation",0.0802798125875553
"Rosette 14 DAG","dividing cell","PAT",0.255364590478101
"Rosette 14 DAG","dividing cell","Synthesis",0.0251543446542287
"Rosette 14 DAG","epidermis","A-ARF",0.0969575518226325
"Rosette 14 DAG","epidermis","ConjugationDeconjugation",0.118921890392621
"Rosette 14 DAG","epidermis","PAT",0.402311226376362
"Rosette 14 DAG","epidermis","Synthesis",0.0239013423271367
"Rosette 14 DAG","guard cell","A-ARF",0.0974486357253416
"Rosette 14 DAG","guard cell","ConjugationDeconjugation",0.0841893798852545
"Rosette 14 DAG","guard cell","PAT",0.165515893815553
"Rosette 14 DAG","guard cell","Synthesis",0.0174325407278063
"Rosette 14 DAG","mesophyll","A-ARF",0.126442625581649
"Rosette 14 DAG","mesophyll","ConjugationDeconjugation",0.105615977958127
"Rosette 14 DAG","mesophyll","PAT",0.19055497569214
"Rosette 14 DAG","mesophyll","Synthesis",0.0209950050487364
"Rosette 14 DAG","phloem","A-ARF",0.120021567636177
"Rosette 14 DAG","phloem","ConjugationDeconjugation",0.149378688461185
"Rosette 14 DAG","phloem","PAT",0.258720068755734
"Rosette 14 DAG","phloem","Synthesis",0.0276000182329437
"Rosette 14 DAG","trichome","A-ARF",0.0872886472811128
"Rosette 14 DAG","trichome","ConjugationDeconjugation",0.100697502571949
"Rosette 14 DAG","trichome","PAT",0.0858003895459639
"Rosette 14 DAG","trichome","Synthesis",0.0315601647923658
"Rosette 14 DAG","xylem","A-ARF",0.0678159628652742
