"organ","tissue_simple","sensor","value"
"Rosette 14 DAG","bundle-sheath","ConjugationDeconjugation",0.0826401145159871
"Rosette 14 DAG","bundle-sheath","DR5-ARF3-up",0.112676745038044
"Rosette 14 DAG","bundle-sheath","PAT",0.348315515341287
"Rosette 14 DAG","bundle-sheath","Synthesis",0.0162246045283616
"Rosette 14 DAG","companion-cell","ConjugationDeconjugation",0.0785149472211886
"Rosette 14 DAG","companion-cell","DR5-ARF3-up",0.112228370529193
"Rosette 14 DAG","companion-cell","PAT",0.160789291890043
"Rosette 14 DAG","companion-cell","Synthesis",0.0178654762943498
"Rosette 14 DAG","dividing cell","ConjugationDeconjugation",0.0802798125875553
"Rosette 14 DAG","dividing cell","DR5-ARF3-up",0.0938460851664355
"Rosette 14 DAG","dividing cell","PAT",0.255364590478101
"Rosette 14 DAG","dividing cell","Synthesis",0.0251543446542287
"Rosette 14 DAG","epidermis","ConjugationDeconjugation",0.118921890392621
"Rosette 14 DAG","epidermis","DR5-ARF3-up",0.136223295863479
"Rosette 14 DAG","epidermis","PAT",0.402311226376362
"Rosette 14 DAG","epidermis","Synthesis",0.0239013423271367
"Rosette 14 DAG","guard cell","ConjugationDeconjugation",0.0841893798852545
"Rosette 14 DAG","guard cell","DR5-ARF3-up",0.124229285085714
"Rosette 14 DAG","guard cell","PAT",0.165515893815553
"Rosette 14 DAG","guard cell","Synthesis",0.0174325407278063
"Rosette 14 DAG","mesophyll","ConjugationDeconjugation",0.105615977958127
"Rosette 14 DAG","mesophyll","DR5-ARF3-up",0.11376536604136
"Rosette 14 DAG","mesophyll","PAT",0.19055497569214
"Rosette 14 DAG","mesophyll","Synthesis",0.0209950050487364
"Rosette 14 DAG","phloem","ConjugationDeconjugation",0.149378688461185
"Rosette 14 DAG","phloem","DR5-ARF3-up",0.113679211145227
"Rosette 14 DAG","phloem","PAT",0.258720068755734
"Rosette 14 DAG","phloem","Synthesis",0.0276000182329437
"Rosette 14 DAG","trichome","ConjugationDeconjugation",0.100697502571949
"Rosette 14 DAG","trichome","DR5-ARF3-up",0.0942236169671997
