"organ","tissue_simple","sensor","value"
"Rosette 14 DAG","bundle-sheath","ConjugationDeconjugation",0.0826401145159871
"Rosette 14 DAG","bundle-sheath","IAA",0.449508758058851
"Rosette 14 DAG","bundle-sheath","PAT",0.348315515341287
"Rosette 14 DAG","bundle-sheath","Synthesis",0.0162246045283616
"Rosette 14 DAG","companion-cell","ConjugationDeconjugation",0.0785149472211886
"Rosette 14 DAG","companion-cell","IAA",0.196514322755057
"Rosette 14 DAG","companion-cell","PAT",0.160789291890043
"Rosette 14 DAG","companion-cell","Synthesis",0.0178654762943498
"Rosette 14 DAG","dividing cell","ConjugationDeconjugation",0.0802798125875553
"Rosette 14 DAG","dividing cell","IAA",0.19846426801525
"Rosette 14 DAG","dividing cell","PAT",0.255364590478101
"Rosette 14 DAG","dividing cell","Synthesis",0.0251543446542287
"Rosette 14 DAG","epidermis","ConjugationDeconjugation",0.118921890392621
"Rosette 14 DAG","epidermis","IAA",0.443739434132206
"Rosette 14 DAG","epidermis","PAT",0.402311226376362
"Rosette 14 DAG","epidermis","Synthesis",0.0239013423271367
"Rosette 14 DAG","guard cell","ConjugationDeconjugation",0.0841893798852545
"Rosette 14 DAG","guard cell","IAA",0.160644251142449
"Rosette 14 DAG","guard cell","PAT",0.165515893815553
"Rosette 14 DAG","guard cell","Synthesis",0.0174325407278063
"Rosette 14 DAG","mesophyll","ConjugationDeconjugation",0.105615977958127
"Rosette 14 DAG","mesophyll","IAA",0.230983268090168
"Rosette 14 DAG","mesophyll","PAT",0.19055497569214
"Rosette 14 DAG","mesophyll","Synthesis",0.0209950050487364
"Rosette 14 DAG","phloem","ConjugationDeconjugation",0.149378688461185
"Rosette 14 DAG","phloem","IAA",0.203729758164073
"Rosette 14 DAG","phloem","PAT",0.258720068755734
"Rosette 14 DAG","phloem","Synthesis",0.0276000182329437
"Rosette 14 DAG","trichome","ConjugationDeconjugation",0.100697502571949
"Rosette 14 DAG","trichome","IAA",0.123080864588035
"Rosette 14 DAG","trichome","PAT",0.0858003895459639
"Rosette 14 DAG","trichome","Synthesis",0.0315601647923658
"Rosette 14 DAG","xylem","ConjugationDeconjugation",0.0658770741226213
"Rosette 14 DAG","xylem","IAA",0.245882297589024
"Rosette 14 DAG","xylem","PAT",0.177438614837338
"Rosette 14 DAG","xylem","Synthesis",0.0232250642919414
"Rosette 21 DAG","companion-cell","ConjugationDeconjugation",0.121388401906433
"Rosette 21 DAG","companion-cell","IAA",0.222549050963942
"Rosette 21 DAG","companion-cell","PAT",0.113760364316477
"Rosette 21 DAG","companion-cell","Synthesis",0.0156571926949178
"Rosette 21 DAG","dividing cell","ConjugationDeconjugation",0.0896788877976012
"Rosette 21 DAG","dividing cell","IAA",0.126994078495012
"Rosette 21 DAG","dividing cell","PAT",0.0518586457070114
"Rosette 21 DAG","dividing cell","Synthesis",0.0231733857089379
"Rosette 21 DAG","epidermis","ConjugationDeconjugation",0.250637757275591
"Rosette 21 DAG","epidermis","IAA",0.452028560620563
"Rosette 21 DAG","epidermis","PAT",0.352860934999634
"Rosette 21 DAG","epidermis","Synthesis",0.0322465600893103
"Rosette 21 DAG","guard cell","ConjugationDeconjugation",0.124919312650011
"Rosette 21 DAG","guard cell","IAA",0.151326502354358
"Rosette 21 DAG","guard cell","PAT",0.119248382177614
"Rosette 21 DAG","guard cell","Synthesis",0.0337080795950283
"Rosette 21 DAG","mesophyll","ConjugationDeconjugation",0.1670579948037
"Rosette 21 DAG","mesophyll","IAA",0.279809548803427
"Rosette 21 DAG","mesophyll","PAT",0.118953682080609
"Rosette 21 DAG","mesophyll","Synthesis",0.0148884940148178
"Rosette 21 DAG","phloem","ConjugationDeconjugation",0.257922167404805
"Rosette 21 DAG","phloem","IAA",0.252640019788184
"Rosette 21 DAG","phloem","PAT",0.127693844334318
"Rosette 21 DAG","phloem","Synthesis",0.0126604538590205
"Rosette 28 DAG","bundle-sheath","ConjugationDeconjugation",0.0989769096726305
"Rosette 28 DAG","bundle-sheath","IAA",0.110238140019991
"Rosette 28 DAG","bundle-sheath","PAT",0.0486578002898147
"Rosette 28 DAG","bundle-sheath","Synthesis",0.00745791858049893
"Rosette 28 DAG","companion-cell","ConjugationDeconjugation",0.132727790253492
"Rosette 28 DAG","companion-cell","IAA",0.195762068658681
"Rosette 28 DAG","companion-cell","PAT",0.0919929543322377
"Rosette 28 DAG","companion-cell","Synthesis",0.00765393389994924
"Rosette 28 DAG","dividing cell","ConjugationDeconjugation",0.112438481989752
"Rosette 28 DAG","dividing cell","IAA",0.127067012313618
"Rosette 28 DAG","dividing cell","PAT",0.0622469343759351
"Rosette 28 DAG","dividing cell","Synthesis",0.00908528228611673
"Rosette 28 DAG","epidermis","ConjugationDeconjugation",0.184990719576646
"Rosette 28 DAG","epidermis","IAA",0.350169706150163
"Rosette 28 DAG","epidermis","PAT",0.231478835427357
"Rosette 28 DAG","epidermis","Synthesis",0.0148163264631959
"Rosette 28 DAG","guard cell","ConjugationDeconjugation",0.150345992618117
"Rosette 28 DAG","guard cell","IAA",0.164760159207294
"Rosette 28 DAG","guard cell","PAT",0.0791516915136745
"Rosette 28 DAG","guard cell","Synthesis",0.00936917865760403
"Rosette 28 DAG","mesophyll","ConjugationDeconjugation",0.17769259273512
"Rosette 28 DAG","mesophyll","IAA",0.148607444851379
"Rosette 28 DAG","mesophyll","PAT",0.0686864350757415
"Rosette 28 DAG","mesophyll","Synthesis",0.0143924042992003
"Rosette 28 DAG","phloem","ConjugationDeconjugation",0.31098794047847
"Rosette 28 DAG","phloem","IAA",0.183995907589837
"Rosette 28 DAG","phloem","PAT",0.0810837921803049
"Rosette 28 DAG","phloem","Synthesis",0.0121784131319368
"Rosette 28 DAG","xylem","ConjugationDeconjugation",0.29726816229343
"Rosette 28 DAG","xylem","IAA",0.196355861904869
"Rosette 28 DAG","xylem","PAT",0.0862906268855198
"Rosette 28 DAG","xylem","Synthesis",0.0076386510205004
"Rosette 35 DAG","companion-cell","ConjugationDeconjugation",0.160643725274279
"Rosette 35 DAG","companion-cell","IAA",0.131807189945526
"Rosette 35 DAG","companion-cell","PAT",0.0392984206394682
"Rosette 35 DAG","companion-cell","Synthesis",0.00511958306346307
"Rosette 35 DAG","epidermis","ConjugationDeconjugation",0.177675660720776
"Rosette 35 DAG","epidermis","IAA",0.157703258331593
"Rosette 35 DAG","epidermis","PAT",0.0787497357463499
"Rosette 35 DAG","epidermis","Synthesis",0.0128646161954706
"Rosette 35 DAG","guard cell","ConjugationDeconjugation",0.181359686550397
"Rosette 35 DAG","guard cell","IAA",0.133740567338942
"Rosette 35 DAG","guard cell","PAT",0.0560596935506182
"Rosette 35 DAG","guard cell","Synthesis",0.00971710645407089
"Rosette 35 DAG","mesophyll","ConjugationDeconjugation",0.209280222029399
"Rosette 35 DAG","mesophyll","IAA",0.112305630941743
"Rosette 35 DAG","mesophyll","PAT",0.0417086554430655
"Rosette 35 DAG","mesophyll","Synthesis",0.00812780600134921
"Rosette 35 DAG","phloem","ConjugationDeconjugation",0.242125047229227
"Rosette 35 DAG","phloem","IAA",0.137030876239523
"Rosette 35 DAG","phloem","PAT",0.0443313402290014
"Rosette 35 DAG","phloem","Synthesis",0.00774072258080539
"Rosette 35 DAG","xylem","ConjugationDeconjugation",0.221565689180927
"Rosette 35 DAG","xylem","IAA",0.119571078773772
"Rosette 35 DAG","xylem","PAT",0.0503695731779684
"Rosette 35 DAG","xylem","Synthesis",0.00733735951716898
"Rosette 42 DAG","companion-cell","ConjugationDeconjugation",0.151425572422377
"Rosette 42 DAG","companion-cell","IAA",0.142182859367975
"Rosette 42 DAG","companion-cell","PAT",0.0540826481684017
"Rosette 42 DAG","companion-cell","Synthesis",0.029719893632232
"Rosette 42 DAG","epidermis","ConjugationDeconjugation",0.295562925243404
"Rosette 42 DAG","epidermis","IAA",0.12266669697708
"Rosette 42 DAG","epidermis","PAT",0.0968944171773561
"Rosette 42 DAG","epidermis","Synthesis",0.0866753368676041
"Rosette 42 DAG","mesophyll","ConjugationDeconjugation",0.335286869530947
"Rosette 42 DAG","mesophyll","IAA",0.0886718349586504
"Rosette 42 DAG","mesophyll","PAT",0.017505200130323
"Rosette 42 DAG","mesophyll","Synthesis",0.136961500737369
"Rosette 42 DAG","phloem","ConjugationDeconjugation",0.211799628037458
"Rosette 42 DAG","phloem","IAA",0.133874191867668
"Rosette 42 DAG","phloem","PAT",0.044090582592048
"Rosette 42 DAG","phloem","Synthesis",0.10737064607974
"Rosette 42 DAG","vascular (unspecified)","ConjugationDeconjugation",0.232840081994708
"Rosette 42 DAG","vascular (unspecified)","IAA",0.0785217617586576
"Rosette 42 DAG","vascular (unspecified)","PAT",0.00797467202876195
"Rosette 42 DAG","vascular (unspecified)","Synthesis",0.0363802947305883
"Rosette 49 DAG","bundle-sheath","ConjugationDeconjugation",0.332758157582282
"Rosette 49 DAG","bundle-sheath","IAA",0.141665774676326
"Rosette 49 DAG","bundle-sheath","PAT",0.0221206111038045
"Rosette 49 DAG","bundle-sheath","Synthesis",0.100993427826359
"Rosette 49 DAG","companion-cell","ConjugationDeconjugation",0.161888207772169
"Rosette 49 DAG","companion-cell","IAA",0.11588578542627
"Rosette 49 DAG","companion-cell","PAT",0.0378473654383665
"Rosette 49 DAG","companion-cell","Synthesis",0.0452221653300355
"Rosette 49 DAG","epidermis","ConjugationDeconjugation",0.248456706650105
"Rosette 49 DAG","epidermis","IAA",0.132587210794991
"Rosette 49 DAG","epidermis","PAT",0.0574854650591564
"Rosette 49 DAG","epidermis","Synthesis",0.21406554338685
"Rosette 49 DAG","guard cell","ConjugationDeconjugation",0.220278147340977
"Rosette 49 DAG","guard cell","IAA",0.107202010932785
"Rosette 49 DAG","guard cell","PAT",0.0157558173350182
"Rosette 49 DAG","guard cell","Synthesis",0.0464954350086309
"Rosette 49 DAG","mesophyll","ConjugationDeconjugation",0.256224155261843
"Rosette 49 DAG","mesophyll","IAA",0.135020824535188
"Rosette 49 DAG","mesophyll","PAT",0.0150179195392894
"Rosette 49 DAG","mesophyll","Synthesis",0.0967731632986194
