"tissue","subtype","sensor","value","cells","species","tissue_total","panel_max","relative_value"
"Atrichoblast","m1","ARF",0.864183387590612,343,"Arabidopsis
(Shahan)",3.71285665344539,5.94109953522728,0.145458493409596
"Atrichoblast","m2","ARF",0.738182247447476,352,"Arabidopsis
(Shahan)",3.71285665344539,5.94109953522728,0.124250106073881
"Atrichoblast","t","ARF",0.775675053871394,500,"Arabidopsis
(Shahan)",3.71285665344539,5.94109953522728,0.130560858183252
"Atrichoblast","e1","ARF",0.666500131978337,500,"Arabidopsis
(Shahan)",3.71285665344539,5.94109953522728,0.112184643267863
"Atrichoblast","e2","ARF",0.299690170818381,500,"Arabidopsis
(Shahan)",3.71285665344539,5.94109953522728,0.0504435532583475
"Atrichoblast","d","ARF",0.368625661739186,500,"Arabidopsis
(Shahan)",3.71285665344539,5.94109953522728,0.0620467069358878
"Trichoblast","m1","ARF",0.693130525837006,91,"Arabidopsis
(Shahan)",3.08005945689111,5.94109953522728,0.116667044833561
"Trichoblast","m2","ARF",0.555092929673072,397,"Arabidopsis
(Shahan)",3.08005945689111,5.94109953522728,0.0934326931204725
"Trichoblast","t","ARF",0.418776737173384,500,"Arabidopsis
(Shahan)",3.08005945689111,5.94109953522728,0.0704880863702554
"Trichoblast","e1","ARF",0.440844273421276,500,"Arabidopsis
(Shahan)",3.08005945689111,5.94109953522728,0.0742024722540541
"Trichoblast","e2","ARF",0.539916833752341,500,"Arabidopsis
(Shahan)",3.08005945689111,5.94109953522728,0.0908782676592013
"Trichoblast","d","ARF",0.432298157034036,500,"Arabidopsis
(Shahan)",3.08005945689111,5.94109953522728,0.0727639983930178
"Cortex","m1","ARF",0.857479533256063,19,"Arabidopsis
(Shahan)",2.54169800259842,5.94109953522728,0.144330107275885
"Cortex","m2","ARF",0.563836949920196,40,"Arabidopsis
(Shahan)",2.54169800259842,5.94109953522728,0.0949044779635436
"Cortex","t","ARF",0.341800701153413,500,"Arabidopsis
(Shahan)",2.54169800259842,5.94109953522728,0.0575315560910457
"Cortex","e1","ARF",0.284405464488725,500,"Arabidopsis
(Shahan)",2.54169800259842,5.94109953522728,0.0478708466004257
"Cortex","e2","ARF",0.222630556684923,500,"Arabidopsis
(Shahan)",2.54169800259842,5.94109953522728,0.0374729551937067
"Cortex","d","ARF",0.271544797095098,500,"Arabidopsis
(Shahan)",2.54169800259842,5.94109953522728,0.0457061517796486
"Endodermis","m1","ARF",0.4923980588881,31,"Arabidopsis
(Shahan)",2.38584154945168,5.94109953522728,0.0828799544543
"Endodermis","m2","ARF",0.433497899293515,106,"Arabidopsis
(Shahan)",2.38584154945168,5.94109953522728,0.0729659378239876
"Endodermis","t","ARF",0.278715579044177,500,"Arabidopsis
(Shahan)",2.38584154945168,5.94109953522728,0.0469131307078017
"Endodermis","e1","ARF",0.273216062200157,500,"Arabidopsis
(Shahan)",2.38584154945168,5.94109953522728,0.0459874574698075
"Endodermis","e2","ARF",0.597945733403781,461,"Arabidopsis
(Shahan)",2.38584154945168,5.94109953522728,0.10064563467727
"Endodermis","d","ARF",0.310068216621953,500,"Arabidopsis
(Shahan)",2.38584154945168,5.94109953522728,0.0521903756675727
"PPP","m1","ARF",0.618527304099884,44,"Arabidopsis
(Shahan)",2.11061235878811,5.94109953522728,0.104109904308517
"PPP","m2","ARF",0.506015560363206,171,"Arabidopsis
(Shahan)",2.11061235878811,5.94109953522728,0.0851720388394147
"PPP","t","ARF",0.344083087481082,414,"Arabidopsis
(Shahan)",2.11061235878811,5.94109953522728,0.0579157251011986
"PPP","e1","ARF",0.156732354214352,500,"Arabidopsis
(Shahan)",2.11061235878811,5.94109953522728,0.0263810349052427
"PPP","e2","ARF",0.141511198765199,196,"Arabidopsis
(Shahan)",2.11061235878811,5.94109953522728,0.0238190250686964
"PPP","d","ARF",0.343742853864392,500,"Arabidopsis
(Shahan)",2.11061235878811,5.94109953522728,0.0578584573152152
"XPP","m1","ARF",0.77351244291326,75,"Arabidopsis
(Shahan)",2.25939225246607,5.94109953522728,0.130196849644881
"XPP","m2","ARF",0.371109571891192,314,"Arabidopsis
(Shahan)",2.25939225246607,5.94109953522728,0.0624647962369132
"XPP","t","ARF",0.175246321969408,500,"Arabidopsis
(Shahan)",2.25939225246607,5.94109953522728,0.0294972876536235
"XPP","e1","ARF",0.162978872780393,500,"Arabidopsis
(Shahan)",2.25939225246607,5.94109953522728,0.0274324427345516
"XPP","e2","ARF",0.19265124505852,500,"Arabidopsis
(Shahan)",2.25939225246607,5.94109953522728,0.0324268671003086
"XPP","d","ARF",0.583893797853299,500,"Arabidopsis
(Shahan)",2.25939225246607,5.94109953522728,0.0982804267780984
"PSE","m1","ARF",0.400221974225251,23,"Arabidopsis
(Shahan)",1.41447991037557,5.94109953522728,0.0673649670153087
"PSE","m2","ARF",0.133162862027126,38,"Arabidopsis
(Shahan)",1.41447991037557,5.94109953522728,0.0224138412826695
"PSE","t","ARF",0.112301054556005,169,"Arabidopsis
(Shahan)",1.41447991037557,5.94109953522728,0.0189024024745125
"PSE","e1","ARF",0.37492838399189,14,"Arabidopsis
(Shahan)",1.41447991037557,5.94109953522728,0.063107574914169
"PSE","e2","ARF",0.393865635575298,52,"Arabidopsis
(Shahan)",1.41447991037557,5.94109953522728,0.0662950743780513
"PCC","m1","ARF",0.510454773208628,97,"Arabidopsis
(Shahan)",1.80326562688285,5.94109953522728,0.0859192427566526
"PCC","m2","ARF",0.310048224204785,90,"Arabidopsis
(Shahan)",1.80326562688285,5.94109953522728,0.0521870105636809
"PCC","t","ARF",0.142823891550893,250,"Arabidopsis
(Shahan)",1.80326562688285,5.94109953522728,0.0240399762205683
"PCC","e1","ARF",0.112653068859087,500,"Arabidopsis
(Shahan)",1.80326562688285,5.94109953522728,0.0189616531739824
"PCC","e2","ARF",0.181316157794761,500,"Arabidopsis
(Shahan)",1.80326562688285,5.94109953522728,0.0305189564187001
"PCC","d","ARF",0.545969511264692,384,"Arabidopsis
(Shahan)",1.80326562688285,5.94109953522728,0.0918970483539973
"Protoxylem","m1","ARF",0.10994256786567,11,"Arabidopsis
(Shahan)",1.24592098577883,5.94109953522728,0.0185054243265534
"Protoxylem","m2","ARF",0.185069614602768,71,"Arabidopsis
(Shahan)",1.24592098577883,5.94109953522728,0.0311507345577047
"Protoxylem","t","ARF",0.266799780561965,410,"Arabidopsis
(Shahan)",1.24592098577883,5.94109953522728,0.0449074752880333
"Protoxylem","e1","ARF",0.245915733601325,289,"Arabidopsis
(Shahan)",1.24592098577883,5.94109953522728,0.0413922931509878
"Protoxylem","e2","ARF",0.21079820464467,254,"Arabidopsis
(Shahan)",1.24592098577883,5.94109953522728,0.035481345396548
"Protoxylem","d","ARF",0.227395084502429,500,"Arabidopsis
(Shahan)",1.24592098577883,5.94109953522728,0.0382749158054175
"Metaxylem","m1","ARF",0.841462871574099,10,"Arabidopsis
(Shahan)",3.31579678367248,5.94109953522728,0.141634198616723
"Metaxylem","m2","ARF",0.646190061474029,45,"Arabidopsis
(Shahan)",3.31579678367248,5.94109953522728,0.108766072280475
"Metaxylem","t","ARF",0.396528066702903,346,"Arabidopsis
(Shahan)",3.31579678367248,5.94109953522728,0.0667432121531917
"Metaxylem","e1","ARF",0.360879360678543,96,"Arabidopsis
(Shahan)",3.31579678367248,5.94109953522728,0.0607428571998732
"Metaxylem","e2","ARF",0.325455519093264,53,"Arabidopsis
(Shahan)",3.31579678367248,5.94109953522728,0.0547803512066245
"Metaxylem","d","ARF",0.745280904149636,348,"Arabidopsis
(Shahan)",3.31579678367248,5.94109953522728,0.125444944951781
"Procambium","m1","ARF",0.655526147796545,30,"Arabidopsis
(Shahan)",2.32487092165443,5.94109953522728,0.1103375131
"Procambium","m2","ARF",0.498047562288337,52,"Arabidopsis
(Shahan)",2.32487092165443,5.94109953522728,0.08383087328115
"Procambium","t","ARF",0.263114452565373,500,"Arabidopsis
(Shahan)",2.32487092165443,5.94109953522728,0.0442871645232094
"Procambium","e1","ARF",0.141413357406156,500,"Arabidopsis
(Shahan)",2.32487092165443,5.94109953522728,0.0238025565078749
