"sensor","tissue","arabidopsis_cells","rice_cells","arabidopsis_mean_percentile","rice_mean_percentile","rice_minus_arabidopsis","ci_low","ci_high","cliffs_delta","p_value","p_adjusted","significance"
"ARF","Cortex",2059,5418,0.418968470879848,0.512938221478011,0.0939697505981633,0.0808289938883635,0.107110507307963,0.198866190101493,1.69596207326096e-40,3.61805242295671e-40,"***"
"ARF","Endodermis",2098,902,0.472036501175353,0.682884717703431,0.210848216528078,0.188801088721044,0.232895344335112,0.425436325166614,3.26294311488724e-78,2.08828359352784e-77,"***"
"ARF","Epidermis",5183,6598,0.571645409226236,0.454476422379288,-0.117168986846948,-0.127536873400314,-0.106801100293583,-0.237506650352772,3.08163874128488e-109,2.4653109930279e-108,"***"
"ARF","Lateral root primordium",500,2539,0.575958175847326,0.488140933444323,-0.0878172424030035,-0.114981429585264,-0.060653055220743,-0.169219377707759,1.99437109410902e-09,2.27928125041031e-09,"***"
"ARF","Pericycle (XPP)",2389,557,0.425169540744958,0.603012798926772,0.177843258181814,0.151831450684074,0.203855065679554,0.372679839449662,1.14048988675714e-45,3.04130636468571e-45,"***"
"ARF","Root cap",1394,765,0.563866741257776,0.484658748041461,-0.0792079932163159,-0.10326987910663,-0.0551461073260023,-0.156052550144879,1.79447999019878e-09,2.12679109949485e-09,"***"
"ARF","Stem cell niche",83,238,0.773707258552769,0.617863649127133,-0.155843609425636,-0.209591192998542,-0.10209602585273,-0.409537308899463,2.77262329032778e-08,3.05944638932721e-08,"***"
"ARF","Xylem",2433,161,0.452000050323195,0.6349056897129,0.182905639389705,0.136930096953867,0.228881181825543,0.369186113302341,2.54828530257452e-16,3.70659680374475e-16,"***"
"ConjugationDeconjugation","Cortex",2059,5418,0.604446644785567,0.495023734935114,-0.109422909850453,-0.12212074543795,-0.0967250742629555,-0.257465132952217,6.94125892740411e-72,3.17314693824188e-71,"***"
"ConjugationDeconjugation","Endodermis",2098,902,0.543961787287525,0.52410917744271,-0.0198526098448154,-0.0414172909542183,0.00171207126458751,-0.0372649276367103,0.104193073107532,0.111139277981367,""
"ConjugationDeconjugation","Epidermis",5183,6598,0.57104921757235,0.500205244475661,-0.0708439730966886,-0.0809118025162706,-0.0607761436771065,-0.148701039966917,1.49612722913086e-45,3.68277471786057e-45,"***"
"ConjugationDeconjugation","Lateral root primordium",500,2539,0.645489621413966,0.475078919054851,-0.170410702359116,-0.195334633837531,-0.1454867708807,-0.379412367073651,2.01010994309917e-48,5.84759256174303e-48,"***"
"ConjugationDeconjugation","Pericycle (XPP)",2389,557,0.454272415360995,0.589696739577343,0.135424324216349,0.110589369982785,0.160259278449912,0.270229425260752,2.56179411883588e-23,4.31460062119728e-23,"***"
"ConjugationDeconjugation","Root cap",1394,765,0.41618376686823,0.488310934262322,0.0721271673940918,0.0518755149896372,0.0923788197985463,0.175517858984818,1.18631852790345e-11,1.65053012577871e-11,"***"
"ConjugationDeconjugation","Stem cell niche",83,238,0.546925168920306,0.529033740635619,-0.0178914282846875,-0.0721550511761346,0.0363721946067596,-0.0532550369545408,0.46294231120855,0.46294231120855,""
"ConjugationDeconjugation","Xylem",2433,161,0.283768131089479,0.619294214975243,0.335526083885764,0.290152122137163,0.380900045634364,0.637331413560438,6.47203674486639e-42,1.47932268454089e-41,"***"
"PAT","Cortex",2059,5418,0.477623547928585,0.481248201093013,0.00362465316442884,-0.00959893294837598,0.0168482392772337,0.0933692684486138,1.96436146121443e-10,2.51438267035446e-10,"***"
"PAT","Endodermis",2098,902,0.31881693776735,0.593060878930639,0.274243941163288,0.252990623507065,0.295497258819512,0.638957173868471,1.42392736611653e-184,1.51885585719097e-183,"***"
"PAT","Epidermis",5183,6598,0.476335756279582,0.457136015807385,-0.0191997404721976,-0.0286869634810127,-0.00971251746338257,0.065971850402577,3.91875798136239e-10,4.82308674629217e-10,"***"
"PAT","Lateral root primordium",500,2539,0.704830100997583,0.488926180390197,-0.215903920607386,-0.241266984166267,-0.190540857048505,-0.411264277274518,3.30024755157151e-51,1.17342135166987e-50,"***"
"PAT","Pericycle (XPP)",2389,557,0.494489687499538,0.677896376163156,0.183406688663618,0.159603614360896,0.207209762966341,0.40402788664082,4.03259493475033e-51,1.29043037912011e-50,"***"
"PAT","Root cap",1394,765,0.557321202469614,0.757803833296426,0.200482630826812,0.17876603267247,0.222199228981154,0.47176976960081,8.88524173586932e-74,4.73879559246364e-73,"***"
"PAT","Stem cell niche",83,238,0.863889537952293,0.536897888739848,-0.326991649212445,-0.375887582427766,-0.278095715997123,-0.754885086564746,9.40200662132259e-25,1.76978948166072e-24,"***"
