"tissue","sensor","mean_value","sd_value","cells","se_value","species","panel_max","relative_mean","relative_se"
"Epidermis","ARF",0.519282984378195,0.476476677302655,5183,0.00661837000586342,"Arabidopsis
(Shahan)",0.923876863819083,0.562069475613455,0.00716369276583536
"Cortex","ARF",0.272239749145886,0.339952082839506,2059,0.00749185792873445,"Arabidopsis
(Shahan)",0.923876863819083,0.294671032263448,0.00810915201162731
"Endodermis","ARF",0.344281001263812,0.380982100308498,2098,0.00831767275474577,"Arabidopsis
(Shahan)",0.923876863819083,0.37264814689767,0.00900301012016096
"Pericycle (XPP)","ARF",0.299995228843688,0.396121792137625,2389,0.00810439612722576,"Arabidopsis
(Shahan)",0.923876863819083,0.324713433783352,0.00877216049520296
"Xylem","ARF",0.325576901571751,0.409241029931798,2433,0.00829675211114377,"Arabidopsis
(Shahan)",0.923876863819083,0.352402916797695,0.00898036571329107
"Root cap","ARF",0.522769502678573,0.482912668248641,1394,0.0129341296968555,"Arabidopsis
(Shahan)",0.923876863819083,0.565843266728826,0.0139998415409917
"Lateral root primordium","ARF",0.545868047320532,0.49645681809071,500,0.0222022238628815,"Arabidopsis
(Shahan)",0.923876863819083,0.590845023506754,0.0240315833552784
"Stem cell niche","ARF",0.923876863819083,0.502146509984091,83,0.0551177400748094,"Arabidopsis
(Shahan)",0.923876863819083,1,0.0596591842845442
"Epidermis","Synthesis",0.354247033740542,0.414922881146795,5183,0.00576337370146675,"Arabidopsis
(Shahan)",0.812984720210479,0.435736398156202,0.00708915377889837
"Cortex","Synthesis",0.125184592322029,0.221027682473661,2059,0.00487100411792996,"Arabidopsis
(Shahan)",0.812984720210479,0.153981482320626,0.00599150758536873
"Endodermis","Synthesis",0.106393177612361,0.223597057862626,2098,0.00488161295430759,"Arabidopsis
(Shahan)",0.812984720210479,0.130867376676915,0.006004556829855
"Pericycle (XPP)","Synthesis",0.266759004461423,0.383446547557265,2389,0.00784506880636729,"Arabidopsis
(Shahan)",0.812984720210479,0.32812302350819,0.00964971248701479
"Xylem","Synthesis",0.262761254128472,0.383379847591537,2433,0.00777245517245706,"Arabidopsis
(Shahan)",0.812984720210479,0.323205649007086,0.00956039514548907
"Root cap","Synthesis",0.555468006514826,0.547487286265082,1394,0.0146636690928266,"Arabidopsis
(Shahan)",0.812984720210479,0.683245321475435,0.0180368323392723
"Lateral root primordium","Synthesis",0.483985766045486,0.457250414552406,500,0.0204488601935828,"Arabidopsis
(Shahan)",0.812984720210479,0.595319633953494,0.0251528222920212
"Stem cell niche","Synthesis",0.812984720210479,0.494723670576701,83,0.054302977600235,"Arabidopsis
(Shahan)",0.812984720210479,1,0.0667945857410163
"Epidermis","Conjugation",1.23501865657556,0.570934663531102,5183,0.00793041303472193,"Arabidopsis
(Shahan)",1.40203724241807,0.880874358548094,0.0056563497707411
