"Organ","Tissue_Cleaned","ARF","Conjugation","PAT","Synthesis","ARF_hat","resid"
"Bud","Bud-unknown",0.116578064560296,0.101764778586856,0.0252423182357108,0.0175418100452387,0.0793601161393418,0.0372179484209543
"Bud","Bud-axis",0.18956225487392,0.115426814056234,0.0393282777374351,0.0327520888530538,0.122687428140045,0.0668748267338751
"Bud","Bud-primordium",0.140676081354653,0.145235148698217,0.0579102715450979,0.00987510583027963,0.080445209959758,0.0602308713948946
"Bud","Epidermis",0.175317497096404,0.138537785642705,0.0498541628698081,0.029975103252014,0.125253234070455,0.0500642630259489
"Bud","Parenchyma-cell",0.133100228911197,0.136853368666063,0.0305870383899664,0.0199397182255796,0.0973921253931193,0.035708103518078
"Bud","Root-meristem",0.147053743609407,0.119968231312388,0.0316730382425915,0.0288732057317396,0.113568467986989,0.033485275622417
"Bud","Shoot-apical-meristem",0.149685762128033,0.138294127486374,0.0304711139295332,0.0299660476258375,0.121941065833005,0.0277446962950283
"Bud","Vascular-cylinder",0.15239083916069,0.161849790236584,0.0847007108427729,0.0137451324207251,0.0995760799801157,0.0528147591805741
"Flag leaf","Epidermis",0.0910938618775619,0.0897762150694891,0.00803923890325562,0.0112627289319221,0.0575275799976929,0.033566281879869
"Flag leaf","Fiber",0.112985222407486,0.0495732942824424,0.00562264537732752,0.00889689043455994,0.0383987274066046,0.0745864950008817
"Flag leaf","Guard-cell",0.0849251655873556,0.0506975851696438,0.0164061949926506,0.0125714426143489,0.0493827447425441,0.0355424208448114
"Flag leaf","Mesophyll",0.0680006671350783,0.0611159815970176,0.00343731994088882,0.00801165798458477,0.0396531700609626,0.0283474970741157
"Flag leaf","Vascular-cylinder",0.10275877001186,0.163852158378969,0.11177607929801,0.0143262577592772,0.106108329108012,-0.00334955909615149
"Leaf","Epidermis",0.0810491848620778,0.110622574402783,0.01750844245445,0.012786404768933,0.0695213970606199,0.0115277878014579
"Leaf","Fiber",0.079678507028908,0.0631279219211441,0.0101566510999697,0.00954653370025226,0.0451085372513668,0.0345699697775411
"Leaf","Guard-cell",0.0714858510446427,0.0767342012562307,0.0260894771539017,0.0186850561771281,0.0741287745124272,-0.00264292346778445
