"iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","tissue","neglog10_padj"
"ATH-aux-reg-DR5-TGTCNN-down",3.96717623397803e-292,-1.18443565445158,0.999,1,2.4199775027266e-290,"Young_LRC_Columella_1",289.616188671393
"ATH-aux-reg-DR5-ARF2-down",2.69506226070757e-286,-0.989208291225419,0.999,1,8.2199398951581e-285,"Young_LRC_Columella_1",284.085131358043
"ATH-aux-reg-DR5-ARF5-1-down",2.6483295597013e-241,-0.721499462862431,1,1,5.38493677139265e-240,"Young_LRC_Columella_1",239.268819391715
"ATH-aux-cis-DR5-TGTCNN",3.13046767251255e-225,-0.420165477900506,1,1,4.77396320058164e-224,"Young_LRC_Columella_1",223.321120933014
"ATH-aux-cis-IR8-ARF5-2",7.82713401648038e-203,-0.407236056233263,1,1,9.54910350010606e-202,"Young_LRC_Columella_1",201.020037399435
"ATH-aux-cis-IR8-ARF1",7.35760142252571e-202,-0.444706419399474,1,1,7.48022811290113e-201,"Young_LRC_Columella_1",200.126085157929
"ATH-aux-cis-DR5-ARF2",1.68890178776062e-200,-0.339009366248187,1,1,1.4717572721914e-199,"Young_LRC_Columella_1",198.832163809591
"ATH-aux-reg-DR5-ARF3-up",1.16276302111184e-171,0.954906668170943,1,1,8.86606803597782e-171,"Young_LRC_Columella_1",170.052268940357
"ATH-aux-cis-DR5-ARF6",2.87848463066479e-164,-0.252687784214423,1,1,1.95097291633947e-163,"Young_LRC_Columella_1",162.709748759496
"ATH-aux-trans-Synthesis",2.72025884115176e-162,-1.34216967274526,0.511,0.906,1.65935789310258e-161,"Young_LRC_Columella_1",160.780059934508
"ATH-aux-cis-DR5-ARF5-1",1.3986555110645e-157,-0.224142269924813,1,1,7.75618056135766e-157,"Young_LRC_Columella_1",156.110352089242
"ATH-aux-reg-IR8-ARF8-down",4.88201667703178e-157,-0.846992049554297,0.982,1,2.48169181082449e-156,"Young_LRC_Columella_1",155.605252152398
"ATH-aux-reg-DR5-ARF6-down",4.83650676010686e-156,-0.580247535950187,1,1,2.26943778743476e-155,"Young_LRC_Columella_1",154.644081718162
"ATH-aux-cis-IR8-ARF5-1",8.90726103453683e-151,-0.245999322163397,1,1,3.8810208793339e-150,"Young_LRC_Columella_1",149.411054020812
"ATH-aux-reg-IR8-ARF5-1-down",3.53027497527751e-134,-0.639848235279685,0.998,1,1.43564515661285e-133,"Young_LRC_Columella_1",132.842952889877
"ATH-aux-reg-DR5-ARF3-down",1.05476150414891e-125,-0.694016586369882,0.992,1,4.02127823456771e-125,"Young_LRC_Columella_1",124.395635876771
"ATH-aux-cis-DR5-ARF5-2",9.16639658149628e-123,-0.239097801023582,1,1,3.28911877336043e-122,"Young_LRC_Columella_1",121.482920443427
"ATH-aux-reg-DR5-ARF8-down",6.50203230935909e-122,-0.610592908782886,0.988,1,2.20346650483836e-121,"Young_LRC_Columella_1",120.656893546867
"ATH-aux-cis-DR5-ARF8",5.42937076073733e-120,-0.217363706677312,1,1,1.74311377055251e-119,"Young_LRC_Columella_1",118.758674266183
"ATH-aux-trans-ARF",1.42686338199034e-109,1.35616808579777,0.925,0.856,4.35193331507055e-109,"Young_LRC_Columella_1",108.361317767979
"ATH-aux-reg-DR5-ARF6-up",1.21718107983882e-108,-0.480445409470438,1,1,3.4397155841324e-108,"Young_LRC_Columella_1",107.46347746596
"ATH-aux-cis-DR5-ARF3",1.24055316149037e-108,-0.208876310802636,1,1,3.4397155841324e-108,"Young_LRC_Columella_1",107.46347746596
"ATH-aux-cis-IR8-ARF8",5.0215983627511e-107,-0.212300560658351,1,1,1.33181521794703e-106,"Young_LRC_Columella_1",105.875556026962
"majortrend",7.31119193306059e-101,-0.166034813703491,1,1,1.85826128298623e-100,"Young_LRC_Columella_1",99.7308932215688
"ATH-aux-cis-DR5-TGTCGG",3.2728023562949e-94,-0.478660339061059,0.995,1,7.98563774935955e-94,"Young_LRC_Columella_1",93.0976903944951
"ATH-aux-cis-IR8-ARF2",2.42483448225342e-92,-0.259619088220681,1,1,5.68903474682533e-92,"Young_LRC_Columella_1",91.2449614136908
"ATH-aux-cis-IR8-ARF3",1.80676423613147e-90,-0.284202689578878,1,1,4.08194882977851e-90,"Young_LRC_Columella_1",89.3891324437856
"ATH-aux-trans-IAA",2.79105941978358e-89,-0.618883572008702,0.999,0.999,6.08052230738565e-89,"Young_LRC_Columella_1",88.2160591139061
"ATH-aux-reg-IR8-ARF1-up",4.72768224172678e-86,-1.28129733310516,0.218,0.541,9.94443506018392e-86,"Young_LRC_Columella_1",85.0024198839537
"ATH-aux-trans-Transport",1.12893610831373e-77,0.741406413370533,0.998,0.999,2.29550342023792e-77,"Young_LRC_Columella_1",76.6391220558105
"random3",3.38612562389922e-63,-0.231603600393766,1,1,6.66302138896298e-63,"Young_LRC_Columella_1",62.176328792601
"ATH-aux-cis-IR8-ARF6",4.72755986275139e-59,-0.196651448306826,1,1,9.01191098836983e-59,"Young_LRC_Columella_1",58.0451831065011
"ATH-aux-cis-IR8-TGTCNN",3.88240838776468e-51,-0.177933223451402,1,1,7.17657308041351e-51,"Young_LRC_Columella_1",50.1440828882856
"ATH-aux-reg-IR8-TGTCNN-up",1.22844593957296e-48,-0.444212469510221,0.978,0.997,2.2039765386456e-48,"Young_LRC_Columella_1",47.6567930328652
"ATH-aux-trans-Receptors",6.49845471405849e-48,-0.599697513840628,0.701,0.911,1.13258782159305e-47,"Young_LRC_Columella_1",46.9459281125341
"ATH-aux-reg-IR8-ARF8-up",1.87012930237072e-39,0.315026891187974,1,1,3.16883020679482e-39,"Young_LRC_Columella_1",38.4991010306827
"ATH-aux-reg-IR8-ARF3-up",1.16463133063296e-38,-0.502200865601542,0.989,0.997,1.9200678694219e-38,"Young_LRC_Columella_1",37.716683419841
"ATH-aux-cis-DR5-ARF1",5.53668981921218e-38,-0.132143300323731,1,1,8.88784418347219e-38,"Young_LRC_Columella_1",37.0512035677993
"random2",8.79530939867308e-38,-0.175401094602115,1,1,1.37567659825399e-37,"Young_LRC_Columella_1",36.8614836504766
"ATH-aux-trans-A-ARF",7.51930804366182e-34,1.33958912681884,0.686,0.588,1.14669447665843e-33,"Young_LRC_Columella_1",32.9405522793753
"ATH-aux-reg-DR5-ARF5-1-up",1.96733132931812e-19,0.131117610498291,1,1,2.89879185772287e-19,"Young_LRC_Columella_1",18.5377829672209
"ATH-aux-reg-IR8-ARF1-down",1.99588947580919e-19,-0.231177738036617,0.983,0.997,2.89879185772287e-19,"Young_LRC_Columella_1",18.5377829672209
"ATH-aux-reg-IR8-ARF5-2-down",2.07558530520583e-18,-0.494711951964489,0.838,0.941,2.94443496785013e-18,"Young_LRC_Columella_1",17.5309980332668
"ATH-aux-reg-DR5-TGTCNN-up",1.16360800245884e-17,-0.242459563335205,1,1,1.61318382159066e-17,"Young_LRC_Columella_1",16.7923161421251
