"sensor","sensor_label","rho","lo","hi","n","p.value","p_adj","class"
"ATH-br-reg-4hr-down","late-down",-0.370202606194115,-0.387896439233826,-0.352236019025961,9000,2.26748386393075e-290,3.17447740950305e-289,"Down"
"ATH-br-reg-2hr-down","early-down",-0.354788348684393,-0.372716983131943,-0.336594933037952,9000,3.26905402408977e-265,2.28833781686284e-264,"Down"
"ATH-br-reg-4hr-up","late-up",0.251188476622364,0.231730377951134,0.270445653304425,9000,1.51737846128911e-129,7.08109948601584e-129,"Up"
"ATH-br-trans-NegativeSignaling","NegSignaling",0.206533140048787,0.186668961709582,0.226228512920669,9000,2.71604198081679e-87,9.50614693285877e-87,"Up"
"ATH-br-reg-2hr-up","early-up",0.0186058914719951,-0.00205561647222815,0.0392515204954132,9000,0.0775608332584741,0.0775608332584741,"n.s."
"ATH-br-trans-TF-induced","TF-induced",0.10123015316644,0.0807382985760093,0.121636469738139,9000,6.15351568867912e-22,9.57213551572308e-22,"n.s."
"ATH-br-trans-Homeostasis","Homeostasis",-0.156237430092704,-0.176328961923391,-0.136015768181927,9000,2.77112229716332e-50,7.75914243205729e-50,"Down"
"ATH-br-trans-TF-repressed","TF-repressed",-0.115822741939129,-0.136157637045974,-0.0953902913494528,9000,2.94386176274224e-28,5.15175808479892e-28,"n.s."
"ATH-br-trans-TF","TF",-0.0195955380735221,-0.0402399643493095,0.00106561109001731,9000,0.0630390133592555,0.0678881682330444,"n.s."
"ATH-br-trans-PositiveSignaling","PosSignaling",-0.0312566946508748,-0.051883906506111,-0.0106028240610266,9000,0.00302109724406806,0.00352461345141273,"n.s."
"ATH-br-trans-Biosynthesis","Biosynthesis",-0.0474265308973141,-0.0680205975575063,-0.0267920657936748,9000,6.75760942535431e-06,8.6005938140873e-06,"n.s."
"random1","random1",-0.129855028131907,-0.150113007972973,-0.109488055684197,9000,3.80655347408494e-35,7.61310694816988e-35,"Negative control"
"random2","random2",-0.0739765952869161,-0.0944928891947042,-0.0533974907795331,9000,2.11490247467273e-12,2.96086346454183e-12,"Negative control"
"majortrend","majortrend",-0.131659197963799,-0.151906703113856,-0.111301238904937,9000,4.3321271887488e-36,1.01082967737472e-35,"Negative control"
