"sensor","sensor_label","rho","lo","hi","n","p.value","p_adj","class"
"ATH-br-reg-4hr-down","late-down",-0.256241622507901,-0.271133331467659,-0.241227275391497,15000,1.66808782781923e-223,2.33532295894693e-222,"Down"
"ATH-br-reg-2hr-down","early-down",-0.252331237818854,-0.267255573492484,-0.23728587852611,15000,1.42385195587587e-216,9.96696369113108e-216,"Down"
"ATH-br-reg-4hr-up","late-up",0.180930536910688,0.165405908237002,0.196365520973427,15000,1.43934391762438e-110,6.71693828224712e-110,"Up"
"ATH-br-trans-NegativeSignaling","NegSignaling",0.123331839169503,0.107540530119569,0.139060934840664,15000,6.34470402591055e-52,2.22064640906869e-51,"Up"
"ATH-br-reg-2hr-up","early-up",0.0321628945379442,0.0161676492643342,0.0481416821040873,15000,8.15410880559438e-05,9.51312693986011e-05,"n.s."
"ATH-br-trans-TF-induced","TF-induced",0.086585273876543,0.0706796456673302,0.102446883074952,15000,2.31562344782311e-26,4.63124689564622e-26,"n.s."
"ATH-br-trans-Homeostasis","Homeostasis",-0.0938573184061575,-0.109696116249936,-0.0779708675925707,15000,1.05092600380123e-30,2.45216067553619e-30,"n.s."
"ATH-br-trans-TF-repressed","TF-repressed",-0.0143626222282927,-0.0303592111696711,0.00164132213770349,15000,0.0785776924166216,0.0785776924166216,"n.s."
"ATH-br-trans-TF","TF",0.0467130799879777,0.0307324877526119,0.0626697966605684,15000,1.04162318330018e-08,1.62030272957806e-08,"n.s."
"ATH-br-trans-PositiveSignaling","PosSignaling",0.0420959395555539,0.0261099623477194,0.0580603922318515,15000,2.50222058582331e-07,3.50310882015264e-07,"n.s."
"ATH-br-trans-Biosynthesis","Biosynthesis",0.0321959365416027,0.0162007168553533,0.0481746816479,15000,8.01756095532333e-05,9.51312693986011e-05,"n.s."
"random1","random1",-0.122769188251137,-0.13850063692809,-0.10697580131285,15000,1.82926018540022e-51,5.12192851912062e-51,"Negative control"
"random2","random2",-0.025981999038622,-0.0419681156032388,-0.00998258274022564,15000,0.0014605792179989,0.00157293146553728,"Negative control"
"majortrend","majortrend",-0.0830623933215401,-0.0989344473991873,-0.0671480858055418,15000,2.20244895663568e-24,3.85428567411244e-24,"Negative control"
