"SensorKey","Method","AUROC","Dataset","DisplayLabel"
"ARF","iSensors",0.707272686904745,"Exogenous auxin
(Martin-Arevalillo 2025)","ARF"
"Synthesis","iSensors",0.333832302077754,"Exogenous auxin
(Martin-Arevalillo 2025)","Synthesis"
"Conjugation","iSensors",0.554478346379123,"Exogenous auxin
(Martin-Arevalillo 2025)","Conjugation"
"PAT","iSensors",0.407759932671058,"Exogenous auxin
(Martin-Arevalillo 2025)","PAT"
"IAA","iSensors",0.394853011618377,"Exogenous auxin
(Martin-Arevalillo 2025)","IAA"
"AARF","iSensors",0.575517581861088,"Exogenous auxin
(Martin-Arevalillo 2025)","A-ARF"
"DR5_ARF1_up","iSensors",0.664132523940167,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF1(up)"
"DR5_ARF8_dn","iSensors",0.298447090267966,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF8(dn)"
"DR5_ARF2_dn","iSensors",0.178332569836067,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF2(dn)"
"ARF","UCell",0.606983849375967,"Exogenous auxin
(Martin-Arevalillo 2025)","ARF"
"Synthesis","UCell",0.417820876685168,"Exogenous auxin
(Martin-Arevalillo 2025)","Synthesis"
"Conjugation","UCell",0.598272747352106,"Exogenous auxin
(Martin-Arevalillo 2025)","Conjugation"
"PAT","UCell",0.447497117581451,"Exogenous auxin
(Martin-Arevalillo 2025)","PAT"
"IAA","UCell",0.427892099941816,"Exogenous auxin
(Martin-Arevalillo 2025)","IAA"
"AARF","UCell",0.54919174064506,"Exogenous auxin
(Martin-Arevalillo 2025)","A-ARF"
"DR5_ARF1_up","UCell",0.709939183340193,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF1(up)"
"DR5_ARF8_dn","UCell",0.300090509552496,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF8(dn)"
"DR5_ARF2_dn","UCell",0.149920078647519,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF2(dn)"
"ARF","AUCell",0.586575689761591,"Exogenous auxin
(Martin-Arevalillo 2025)","ARF"
"Synthesis","AUCell",0.430210629995822,"Exogenous auxin
(Martin-Arevalillo 2025)","Synthesis"
"Conjugation","AUCell",0.601368735779555,"Exogenous auxin
(Martin-Arevalillo 2025)","Conjugation"
"PAT","AUCell",0.46835162405118,"Exogenous auxin
(Martin-Arevalillo 2025)","PAT"
"IAA","AUCell",0.440389214767309,"Exogenous auxin
(Martin-Arevalillo 2025)","IAA"
"AARF","AUCell",0.53985011878037,"Exogenous auxin
(Martin-Arevalillo 2025)","A-ARF"
"DR5_ARF1_up","AUCell",0.706146650520423,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF1(up)"
"DR5_ARF8_dn","AUCell",0.311995762902028,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF8(dn)"
"DR5_ARF2_dn","AUCell",0.154361605901596,"Exogenous auxin
(Martin-Arevalillo 2025)","DR5.ARF2(dn)"
"ARF","iSensors",0.544974516714857,"Endogenous gradient
(Shahan root tip)","ARF"
"Synthesis","iSensors",0.536995338980507,"Endogenous gradient
(Shahan root tip)","Synthesis"
"Conjugation","iSensors",0.585685963538355,"Endogenous gradient
(Shahan root tip)","Conjugation"
"PAT","iSensors",0.584211353537909,"Endogenous gradient
(Shahan root tip)","PAT"
"IAA","iSensors",0.715018291966121,"Endogenous gradient
(Shahan root tip)","IAA"
"AARF","iSensors",0.520950486124658,"Endogenous gradient
(Shahan root tip)","A-ARF"
"DR5_ARF1_up","iSensors",0.671902301265818,"Endogenous gradient
(Shahan root tip)","DR5.ARF1(up)"
"DR5_ARF8_dn","iSensors",0.805715816516849,"Endogenous gradient
(Shahan root tip)","DR5.ARF8(dn)"
"DR5_ARF2_dn","iSensors",0.617631228651703,"Endogenous gradient
(Shahan root tip)","DR5.ARF2(dn)"
"ARF","UCell",0.465393322691925,"Endogenous gradient
(Shahan root tip)","ARF"
"Synthesis","UCell",0.50711321992154,"Endogenous gradient
(Shahan root tip)","Synthesis"
"Conjugation","UCell",0.576797156898568,"Endogenous gradient
(Shahan root tip)","Conjugation"
"PAT","UCell",0.524970373427398,"Endogenous gradient
(Shahan root tip)","PAT"
"IAA","UCell",0.689831799305866,"Endogenous gradient
(Shahan root tip)","IAA"
"AARF","UCell",0.473004824413385,"Endogenous gradient
(Shahan root tip)","A-ARF"
"DR5_ARF1_up","UCell",0.627818688754871,"Endogenous gradient
(Shahan root tip)","DR5.ARF1(up)"
"DR5_ARF8_dn","UCell",0.774957045494942,"Endogenous gradient
(Shahan root tip)","DR5.ARF8(dn)"
"DR5_ARF2_dn","UCell",0.506666351540409,"Endogenous gradient
(Shahan root tip)","DR5.ARF2(dn)"
"ARF","AUCell",0.451485222652404,"Endogenous gradient
(Shahan root tip)","ARF"
"Synthesis","AUCell",0.492161237649499,"Endogenous gradient
(Shahan root tip)","Synthesis"
"Conjugation","AUCell",0.576170644685113,"Endogenous gradient
(Shahan root tip)","Conjugation"
"PAT","AUCell",0.530286012063558,"Endogenous gradient
(Shahan root tip)","PAT"
"IAA","AUCell",0.698256463927976,"Endogenous gradient
(Shahan root tip)","IAA"
"AARF","AUCell",0.467762166394695,"Endogenous gradient
(Shahan root tip)","A-ARF"
"DR5_ARF1_up","AUCell",0.632348903684628,"Endogenous gradient
(Shahan root tip)","DR5.ARF1(up)"
"DR5_ARF8_dn","AUCell",0.762960117300117,"Endogenous gradient
(Shahan root tip)","DR5.ARF8(dn)"
"DR5_ARF2_dn","AUCell",0.498118376211376,"Endogenous gradient
(Shahan root tip)","DR5.ARF2(dn)"
