"","iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype"
"1","AT-aux-trans-Synthesis",2.5171712495345e-24,-2.69432528447252,0.489,0.962,1.68650473718812e-22,"Daughters_CEI"
"2","AT-aux-cistrans-DR5-ARF2-down",1.73353977643878e-23,-0.955306828465707,1,1,1.16147165021399e-21,"Daughters_CEI"
"3","AT-aux-cistrans-DR5-ARF5syn-down",4.3494122743669e-23,-0.546589230089796,1,1,2.91410622382582e-21,"Daughters_CEI"
"4","random2",1.21931141899999e-19,-0.414829284786286,1,1,8.16938650729996e-18,"Daughters_CEI"
"5","AT-aux-cistrans-DR5-ARF5-1-down",4.52946356295049e-19,-0.603236453245628,1,1,3.03474058717683e-17,"Daughters_CEI"
"6","AT-aux-cistrans-IR8-ARF5syn-down",7.58207619834969e-16,-0.531819746429248,1,1,5.0799910528943e-14,"Daughters_CEI"
"7","AT-aux-cis-IR8-ARF1",1.55111915482893e-15,-0.474515861742973,1,1,1.03924983373538e-13,"Daughters_CEI"
"8","AT-aux-cistrans-DR5-ARF5syn-up",5.17645854275377e-15,0.398189953176558,1,1,3.46822722364502e-13,"Daughters_CEI"
"9","AT-aux-cistrans-DR5-ARF6-down",9.96181267310543e-14,-0.565910584862412,1,1,6.67441449098064e-12,"Daughters_CEI"
"10","AT-aux-cistrans-DR5-ARF8-down",9.96181267310543e-14,-0.565910584862412,1,1,6.67441449098064e-12,"Daughters_CEI"
"11","AT-aux-cistrans-DR5-TGTCNN-down",2.15529176331931e-13,-0.668605051477175,0.996,1,1.44404548142394e-11,"Daughters_CEI"
"12","AT-aux-cistrans-IR8-ARF5syn-up",3.90577944836735e-12,0.385794595736002,1,1,2.61687223040612e-10,"Daughters_CEI"
"13","AT-aux-cis-DR5-ARF5-1",8.67448730299818e-12,-0.217586145483248,1,1,5.81190649300878e-10,"Daughters_CEI"
"14","AT-aux-trans-IAA",1.05462511703758e-11,-0.671374223357175,0.996,1,7.06598828415177e-10,"Daughters_CEI"
