iSensor Rho1	p1
AT-aux-cis-DR5-ARF1	0.234944616968259	0.134206418616992
AT-aux-cis-DR5-ARF2	-0.080916695323509	0.610464089603531
AT-aux-cis-DR5-ARF3	0.820875156738491	2.80390583254901e-11
AT-aux-cis-DR5-ARF5-1	0.575783430067284	6.61821884276522e-05
AT-aux-cis-DR5-ARF5-2	-0.188632167554804	0.231556199037035
AT-aux-cis-DR5-ARF5syn	0.730331716312185	4.02924145690809e-08
AT-aux-cis-DR5-ARF6	0.711078226106592	1.31122441365443e-07
AT-aux-cis-DR5-ARF8	0.711078226106592	1.31122441365443e-07
AT-aux-cis-DR5-TGTCGG	0.697548746502661	2.8434669291293e-07
AT-aux-cis-DR5-TGTCNN	0.857821043349225	3.96226779350872e-13
AT-aux-cis-IR8-ARF1	0.124106957136057	0.433587938972821
AT-aux-cis-IR8-ARF2	0.528430251453527	0.000321694515214648
AT-aux-cis-IR8-ARF3	0.781327447127001	1.02269924063685e-09
AT-aux-cis-IR8-ARF5-1	0.817752969137584	3.84143616281294e-11
AT-aux-cis-IR8-ARF5-2	0.751666664918384	9.64403852140746e-09
AT-aux-cis-IR8-ARF5syn	0.795377291331083	3.1188482659227e-10
AT-aux-cis-IR8-ARF6	0.0892425289259279	0.574097582933457
AT-aux-cis-IR8-ARF8	0.0892425289259279	0.574097582933457
AT-aux-cis-IR8-TGTCNN	0.254198107173853	0.104272290477615
AT-aux-cistrans-DR5-ARF1-down	-0.607525670676506	1.98513871981347e-05
AT-aux-cistrans-DR5-ARF1-up	0.782888540927455	9.00165306902533e-10
AT-aux-cistrans-DR5-ARF2-down	-0.520624782451259	0.000408458391749036
AT-aux-cistrans-DR5-ARF2-up	0.803703124933502	1.47627320420309e-10
AT-aux-cistrans-DR5-ARF3-down	-0.690263642100544	4.24017296343871e-07
AT-aux-cistrans-DR5-ARF3-up	0.809427135535165	8.64513946584305e-11
AT-aux-cistrans-DR5-ARF5-1-down	-0.267727586777784	0.0864993239637823
AT-aux-cistrans-DR5-ARF5-1-up	0.779766353326548	1.16071510454557e-09
AT-aux-cistrans-DR5-ARF5-2-down	-0.470669780836745	0.00165711801484389
AT-aux-cistrans-DR5-ARF5-2-up	0.779245988726397	1.21046733318628e-09
AT-aux-cistrans-DR5-ARF5syn-down	-0.591914732671971	3.64641832742565e-05
AT-aux-cistrans-DR5-ARF5syn-up	0.790173645329571	4.89277019780769e-10
AT-aux-cistrans-DR5-ARF6-down	-0.571100148665924	7.82306270164499e-05
AT-aux-cistrans-DR5-ARF6-up	0.797979114331839	2.47801039124821e-10
AT-aux-cistrans-DR5-ARF8-down	-0.571100148665924	7.82306270164499e-05
AT-aux-cistrans-DR5-ARF8-up	0.797979114331839	2.47801039124821e-10
AT-aux-cistrans-DR5-TGTCNN-down	-0.545081918658364	0.00018949918929897
AT-aux-cistrans-DR5-TGTCNN-up	0.776644165725641	1.49060308462112e-09
AT-aux-cistrans-IR8-ARF1-down	-0.590353638871517	3.86833848982131e-05
AT-aux-cistrans-IR8-ARF1-up	0.70171166330387	2.25103433565678e-07
AT-aux-cistrans-IR8-ARF2-down	-0.783929270127757	8.26265874703206e-10
AT-aux-cistrans-IR8-ARF2-up	0.751666664918384	9.64403852140746e-09
AT-aux-cistrans-IR8-ARF3-down	0.0330431521096001	0.835433428868082
AT-aux-cistrans-IR8-ARF3-up	0.769359061323524	2.63174338178882e-09
AT-aux-cistrans-IR8-ARF5-1-down	-0.729290987111883	4.3054954132621e-08
AT-aux-cistrans-IR8-ARF5-1-up	0.793295832930479	3.74010538739588e-10
AT-aux-cistrans-IR8-ARF5-2-down	-0.847934115946353	1.38115815936529e-12
AT-aux-cistrans-IR8-ARF5-2-up	0.749064841917628	1.15682092530473e-08
AT-aux-cistrans-IR8-ARF5syn-down	-0.753227758718838	8.6375584680782e-09
AT-aux-cistrans-IR8-ARF5syn-up	0.784449634727909	7.91484230041212e-10
AT-aux-cistrans-IR8-ARF6-down	-0.741779737515512	1.90326176201589e-08
AT-aux-cistrans-IR8-ARF6-up	0.778725624126245	1.2622101295709e-09
AT-aux-cistrans-IR8-ARF8-down	-0.741779737515512	1.90326176201589e-08
AT-aux-cistrans-IR8-ARF8-up	0.778725624126245	1.2622101295709e-09
AT-aux-cistrans-IR8-TGTCNN-down	-0.765196144522315	3.60860388976916e-09
AT-aux-cistrans-IR8-TGTCNN-up	0.744901925116419	1.54067799739575e-08
AT-aux-trans-A-ARF	0.806304947934258	1.16006813517168e-10
AT-aux-trans-ARF	0.84221010534469	2.73526040043074e-12
AT-aux-trans-ConjugationDeconjugation	0.730852080912337	3.89739124324786e-08
AT-aux-trans-PolarAuxinTransport	0.748544477317477	1.19936974640863e-08
AT-aux-trans-IAA	0.743340831315965	1.71304431421577e-08
AT-aux-trans-Receptors	-0.1428400827415	0.366837812167424
AT-aux-trans-Synthesis	-0.247433367371888	0.114144453892286
AT-aux-trans-Transport	0.724607705710522	5.78119236628362e-08
majortrend	0.806304947934258	1.16006813517168e-10
random1	0.213089303761909	0.175442569352625
random2	0.775083071925187	1.68668038639973e-09
