ensembl_gene_id	external_gene_name	description	osativa_eg_homolog_ensembl_gene	osativa_eg_homolog_orthology_type	osativa_eg_homolog_orthology_confidence
AT1G23080	PIN7	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:838916]	Os05g0576900	ortholog_many2many	0
AT1G23080	PIN7	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:838916]	Os01g0643300	ortholog_many2many	0
AT1G70940	PIN3	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843432]	Os05g0576900	ortholog_many2many	0
AT1G70940	PIN3	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843432]	Os01g0643300	ortholog_many2many	1
AT1G73590	PIN1	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843693]	Os02g0743400	ortholog_one2many	1
AT1G73590	PIN1	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:843693]	Os06g0232300	ortholog_one2many	1
AT1G77110	PIN6	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:844046]			NA
AT1G77690	LAX3	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:844105]			NA
AT2G01420	PIN4	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:814670]	Os05g0576900	ortholog_many2many	1
AT2G01420	PIN4	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:814670]	Os01g0643300	ortholog_many2many	0
AT2G21050	LAX2	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:816640]			NA
AT2G38120	AUX1	Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818390]	Os01g0856500	ortholog_many2many	0
AT2G38120	AUX1	Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818390]	Os05g0447200	ortholog_many2many	0
AT2G38120	AUX1	Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818390]	Os10g0147400	ortholog_many2many	0
AT2G38120	AUX1	Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818390]	Os11g0169200	ortholog_many2many	0
AT2G38120	AUX1	Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818390]	Os03g0244600	ortholog_many2many	0
AT5G01240	LAX1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:831866]	Os01g0856500	ortholog_many2many	1
AT5G01240	LAX1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:831866]	Os05g0447200	ortholog_many2many	1
AT5G01240	LAX1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:831866]	Os10g0147400	ortholog_many2many	0
AT5G01240	LAX1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:831866]	Os11g0169200	ortholog_many2many	0
AT5G01240	LAX1	uncharacterized protein [Source:NCBI gene (formerly Entrezgene);Acc:831866]	Os03g0244600	ortholog_many2many	0
AT5G15100	PIN8	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:831362]	Os01g0715600	ortholog_one2one	1
AT5G16530	PIN5	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:831515]	Os01g0919800	ortholog_one2many	1
AT5G16530	PIN5	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:831515]	Os09g0505400	ortholog_one2many	1
AT5G16530	PIN5	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:831515]	Os08g0529000	ortholog_one2many	1
AT5G16530	PIN5	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:831515]	Os11g0122800	ortholog_one2many	1
AT5G57090	EIR1	Auxin efflux carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:835813]	Os06g0660200	ortholog_one2one	1
