arabidopsis_gene	rice_gene	orthology_type	orthology_confidence	rice_identity_to_ath	ath_identity_to_rice
AT1G04580	Os10g0138100	ortholog_many2many	1	53.4031	52.5773
AT1G14130	Os04g0475600	ortholog_many2many	1	47.0779	48.3333
AT1G75500	Os02g0114100	ortholog_one2many	1	65.2956	65.8031
AT1G75500	Os08g0561500	ortholog_one2many	1	71.4653	71.8346
AT2G47750	Os07g0671500	ortholog_one2one	1	25.1282	60.7438
AT3G02875	Os07g0249700	ortholog_one2many	1	51.1312	49.7797
AT3G06810	Os07g0675000	ortholog_one2one	1	68.0825	67.509
AT3G10870	Os12g0117100	ortholog_many2many	1	44.2029	45.5224
AT3G10870	Os11g0117900	ortholog_many2many	1	44.2029	45.8647
AT3G44310	Os02g0635000	ortholog_many2many	1	58.3815	56.5826
AT3G44320	Os02g0635200	ortholog_many2many	1	61.8497	59.116
AT4G05530	Os09g0133200	ortholog_one2one	1	66.1417	66.4032
AT4G27260	Os05g0500900	ortholog_many2many	1	65.8497	64.07
AT5G20960	Os03g0790900	ortholog_many2many	1	54.1667	53.8909
AT5G20960	Os03g0790700	ortholog_many2many	1	53.7281	54.2035
AT5G20960	Os07g0281700	ortholog_many2many	1	52.924	53.0403
AT5G54510	Os01g0785400	ortholog_many2many	1	66.9935	67.2131
AT5G55250	Os04g0665200	ortholog_one2many	1	64.7668	61.8812
AT5G55250	Os06g0323100	ortholog_one2many	1	45.3368	48.8827
AT5G55250	Os06g0322400	ortholog_one2many	1	35.7513	43.8095
