arabidopsis_gene	rice_gene	orthology_type	orthology_confidence
AT2G27490	Os01g0360600	ortholog_one2one	1
AT2G34090	Os01g0613900	ortholog_one2one	1
AT1G76730	Os12g0168000	ortholog_one2one	1
AT5G61800	Os04g0401200	ortholog_one2one	1
AT1G80310	Os01g0645900	ortholog_one2one	1
AT1G03910	Os03g0800100	ortholog_one2one	1
AT5G08580	Os02g0221800	ortholog_one2one	1
AT1G79830	Os05g0559900	ortholog_one2one	1
AT5G54520	Os02g0319800	ortholog_one2one	1
AT1G48140	Os02g0749450	ortholog_one2one	1
AT2G32600	Os03g0263500	ortholog_one2one	1
AT3G06580	Os03g0832600	ortholog_one2one	1
AT2G26000	Os02g0182900	ortholog_one2one	1
AT3G51050	Os02g0100700	ortholog_one2one	1
AT5G23060	Os02g0729400	ortholog_one2one	1
AT2G23093	Os08g0113800	ortholog_one2one	1
AT2G46900	Os09g0514900	ortholog_one2one	1
AT3G13440	Os03g0824200	ortholog_one2one	1
AT5G08370	Os10g0493600	ortholog_one2one	1
AT4G13020	Os03g0847600	ortholog_one2one	1
AT1G34770	Os07g0151300	ortholog_one2one	1
AT2G24820	Os02g0792800	ortholog_one2one	1
AT1G29810	Os01g0663500	ortholog_one2one	1
AT1G34380	Os01g0874800	ortholog_one2one	1
AT5G09650	Os02g0768600	ortholog_one2one	1
AT2G37970	Os01g0850900	ortholog_one2one	1
AT5G15300	Os03g0168550	ortholog_one2one	1
AT5G20140	Os06g0597900	ortholog_one2one	1
AT1G63660	Os08g0326600	ortholog_one2one	1
AT5G35840	Os03g0752100	ortholog_one2one	1
AT5G50210	Os12g0290150	ortholog_one2one	1
AT1G17870	Os03g0729000	ortholog_one2one	1
AT1G23090	Os04g0652400	ortholog_one2one	1
AT5G25770	Os06g0163200	ortholog_one2one	1
AT1G76420	Os08g0511200	ortholog_one2one	1
AT4G04930	Os02g0639600	ortholog_one2one	1
AT1G68220	Os08g0261100	ortholog_one2one	1
AT4G12680	Os06g0300500	ortholog_one2one	1
AT2G19540	Os11g0134500	ortholog_one2one	1
AT2G40190	Os12g0583000	ortholog_one2one	1
AT3G07230	Os12g0405700	ortholog_one2one	1
